backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C05,passive_graph_density,H10k_minus_H5k,0.013560007918143935,0.05931233741898618,3,-0.02309535835932669,0.0819900010076392,-0.018214618893880707
C05,passive_graph_density,interaction,0.024952733639643343,0.1304765038881809,3,-0.06593980935542787,0.17445681257035206,-0.03365880229599416
C05,passive_updates_per_rollout,D8_minus_D4,44.31607495637687,61.66684538958979,3,14.04726080950752,3.6324832488602397,115.26848081076287
C05,passive_updates_per_rollout,H10k_minus_H5k,-39.32649194178907,160.67794988863525,3,-211.39391566108054,-13.392737248260687,106.80717708397401
C05,passive_updates_per_rollout,interaction,224.1549321584242,257.6648034611075,3,-72.37040927137355,393.52903011326976,351.30617563337637
C05,passive_stale_per_rollout,D8_minus_D4,1.7124724061810153,2.966089214065246,3,0.0,0.0,5.137417218543046
C05,passive_stale_per_rollout,H10k_minus_H5k,-1.7124724061810153,2.966089214065246,3,0.0,0.0,-5.137417218543046
C05,passive_stale_per_rollout,interaction,-3.4249448123620305,5.932178428130492,3,0.0,0.0,-10.274834437086092
C05,passive_over_gap_per_rollout,D8_minus_D4,0.019956103052538653,0.03456498440807731,3,0.0,0.059868309157615957,0.0
C05,passive_over_gap_per_rollout,H10k_minus_H5k,-0.019956103052538653,0.03456498440807731,3,0.0,-0.059868309157615957,0.0
C05,passive_over_gap_per_rollout,interaction,-0.06169869847980497,0.10686528052789486,3,0.0,-0.1850960954394149,0.0
C05,exploration_selection_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,exploration_selection_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,exploration_selection_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,forced_exploration_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,forced_exploration_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,forced_exploration_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,frontier_selection_rate,D8_minus_D4,,,0,,,
C05,frontier_selection_rate,H10k_minus_H5k,,,0,,,
C05,frontier_selection_rate,interaction,,,0,,,
C05,frontier_yield,D8_minus_D4,,,0,,,
C05,frontier_yield,H10k_minus_H5k,,,0,,,
C05,frontier_yield,interaction,,,0,,,
C05,frontier_reached_fraction,D8_minus_D4,,,0,,,
C05,frontier_reached_fraction,H10k_minus_H5k,,,0,,,
C05,frontier_reached_fraction,interaction,,,0,,,
C05,recruitment_total,D8_minus_D4,3.0,3.122498999199199,3,5.5,-0.5,4.0
C05,recruitment_total,H10k_minus_H5k,1.3333333333333333,5.795112883571236,3,7.5,0.5,-4.0
C05,recruitment_total,interaction,2.0,11.789826122551595,3,15.0,-1.0,-8.0
C05,repeat_total,D8_minus_D4,1.5,1.5,3,3.0,0.0,1.5
C05,repeat_total,H10k_minus_H5k,0.5,2.29128784747792,3,3.0,0.0,-1.5
C05,repeat_total,interaction,1.0,4.58257569495584,3,6.0,0.0,-3.0
C05,tiny_residual_total,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,tiny_residual_total,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,tiny_residual_total,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,coverage_auc,D8_minus_D4,-9.939912640493278,7.005017490926438,3,-9.400689369829221,-3.2200894813325416,-17.198959070318068
C13,coverage_auc,H10k_minus_H5k,-2.2222492567632286,13.901101037603048,3,5.484216431779361,-18.26967744148792,6.1187132394188755
C13,coverage_auc,interaction,4.838407674270648,33.239727645493325,3,-11.440754119045575,43.0798350662328,-17.123857924375283
C13,unique_cells,D8_minus_D4,-15.536162093265494,10.518648011920906,3,-12.058908090621845,-7.1964219426369755,-27.35315624653766
C13,unique_cells,H10k_minus_H5k,-7.098983171609352,22.513268565284275,3,4.691918943435869,-33.058786498210665,7.069918039946739
C13,unique_cells,interaction,7.203520668684486,52.18249926238876,3,-18.63140873620923,67.26364700846703,-27.021676266204345
C13,coverage_entropy,D8_minus_D4,-0.15276602973095943,0.28209518017070306,3,-0.059108129041251845,0.07058799293384754,-0.469777953085474
C13,coverage_entropy,H10k_minus_H5k,-0.17371686560806107,0.4451493002540579,3,0.0739279341777952,-0.6876186668681272,0.09254013586614884
C13,coverage_entropy,interaction,-0.0034364448839814266,0.6885305497568742,3,-0.2696375039213197,0.7784530064529114,-0.519124837183536
C13,dg_density,D8_minus_D4,0.0005095219667052923,0.0008953108850763935,3,0.0015271984668650245,-0.00015689955248412817,0.0001582669857349804
C13,dg_density,H10k_minus_H5k,0.0007567293912054754,0.000506709076147291,3,0.0012716834138689227,0.0007398159967344307,0.00025868876301307284
C13,dg_density,interaction,-0.000846978804156078,0.0011463859283065603,3,0.0003245661570420895,-0.0019664295581912107,-0.0008990730113191125
C13,dg_silent_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,dg_silent_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,dg_silent_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,dg_usage_entropy,D8_minus_D4,0.000631243315599254,0.0021544714891273604,3,0.0030601325163074344,-0.0010491630165258559,-0.00011723955298381661
C13,dg_usage_entropy,H10k_minus_H5k,0.0015903497891926095,0.0015637100453677725,3,0.0028571359235762817,-0.00015732725135791936,0.0020712406953594664
C13,dg_usage_entropy,interaction,0.00021063478421741907,0.0028322139652631486,3,0.0027072696026209098,-0.002867039583776987,0.0007916743338083343
C13,dg_behavior_event_fraction,D8_minus_D4,0.016544112803371647,0.015949206288774553,3,0.02556688554135511,-0.0018712068339766519,0.02593665970273648
C13,dg_behavior_event_fraction,H10k_minus_H5k,0.012578628161475628,0.03706268741068506,3,0.014673546717071273,0.04854942499179585,-0.025487087224440236
C13,dg_behavior_event_fraction,interaction,-0.016262798367701985,0.06213356698282231,3,-0.005104172972748344,-0.08321958213950859,0.03953536000915098
