condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,mean_lifetime_hoyer_sparsity,mean_active_unit_lifetime_hoyer_sparsity,mean_population_hoyer_sparsity,mean_lifetime_kurtosis,mean_active_unit_lifetime_kurtosis,best_corr_to_latent_probs,best_corr_to_latent_values,best_corr_to_latent_samples,best_weight_alignment_to_latent_vectors,mean_weight_row_entropy_to_latents,mean_weight_row_effective_latents,mean_weight_row_participation_latents,mean_weight_col_entropy_over_rows,mean_weight_col_effective_rows,mean_weight_col_participation_rows
punish,1.0,0,0.160400390625,0.16015625,0.005813418408100907,1.283203125,2.5202056691846075,1.0,0.732421875,1.2882352941176471,0.815748349531557,0.728321676223052,0.728321676223052,0.8703503216283326,20.138996269285,20.138996269285,0.15772476754713186,0.2269625624657549,0.22652008905401588,0.43020677154280496,0.9047094618061622,6.568047517692449,6.004846489286397,0.9738936233238926,7.6197591597571535,7.471077133790037
no_learning,1.0,1,0.171142578125,0.1708984375,0.013739283460343268,1.369140625,1.5059986965381509,1.0,0.376953125,1.469601677148847,0.7672762791575252,0.7029369369209721,0.7029369369209721,0.897452238261204,16.607037259139076,16.607037259139076,0.3743912805411669,0.46709139875076244,0.44507377642651946,0.3513158254044144,0.874400619741885,6.186375268899777,5.464308848649427,0.8829198890793893,6.321488022673208,5.611985606243479
encourage,1.0,1,0.1796875,0.177734375,0.021417687694786434,1.4375,1.7743836958222987,1.0,0.501953125,1.8354114713216958,0.8004974567935738,0.666162061230141,0.666162061230141,0.847288686908299,9.521955225219745,9.521955225219745,0.5521897258944868,0.673046387553608,0.6943811850297525,0.8082223528496872,0.8384366353082462,5.738131339325533,4.672689897578291,0.9213786757688012,6.80489769972065,6.188273288033835
punish,1.0,1,0.16650390625,0.16796875,0.004339938680329877,1.33203125,2.6009143102039016,1.0,0.7265625,1.3015267175572518,0.8204057991787069,0.722912954774878,0.722912954774878,0.866671796483091,18.22726623890077,18.22726623890077,0.15954089816192962,0.22639474714817057,0.22219818656238627,0.4238920113996415,0.9106110373789261,6.645622589429371,6.098005890586645,0.9795282504987128,7.695564646878093,7.545059354850071
no_learning,1.0,2,0.16455078125,0.1650390625,0.01355805017276838,1.31640625,1.000724530008602,1.0,0.224609375,1.4944567627494456,0.6165848323001297,0.7147463843845798,0.7147463843845798,0.9255457694382411,20.9296209196726,20.9296209196726,0.3408564337128448,0.41770485908983346,0.39104704487366265,0.3678558992000701,0.8608087849158435,6.036047780616844,5.159506036889731,0.8783309748424382,6.241163721894184,5.468286449338152
encourage,1.0,2,0.187744140625,0.185546875,0.017617076526639117,1.501953125,1.1775886103825624,1.0,0.23046875,1.857487922705314,0.7595761694022651,0.6557287953804545,0.6557287953804545,0.8725299553938177,8.349019889078253,8.349019889078253,0.5503170481523743,0.6785563652102773,0.6306582315281721,0.8390898020400668,0.8370130209006938,5.704046355169458,4.581276007779938,0.8873380028722277,6.427436213136511,5.6667734425018805
punish,1.0,2,0.166748046875,0.166015625,0.005935178604073837,1.333984375,2.627189812757323,1.0,0.73046875,1.2814258911819887,0.8101961856997738,0.7225296614318518,0.7225296614318518,0.8650061722982686,19.678410667596058,19.678410667596058,0.16675716859829898,0.2225322041466646,0.22219295316678644,0.43020520715401567,0.9294681155729536,6.911099204002083,6.323459330204446,0.988680502680308,7.821619485508904,7.679646357512031
no_learning,1.0,3,0.170654296875,0.1650390625,0.011917964108846605,1.365234375,1.2859678169839086,1.0,0.29296875,1.4967880085653105,0.6387026299595898,0.7114040837916455,0.7114040837916455,0.9136681354930675,18.990293889274604,18.990293889274604,0.37943604600889624,0.45259063928771226,0.4023959128547768,0.39865431182173505,0.8683421168510053,6.107996151663319,5.236479543750497,0.872637347970775,6.16395689899332,5.351842437925228
encourage,1.0,3,0.181640625,0.177734375,0.007307924583542854,1.453125,1.873371688794031,1.0,0.517578125,2.0327868852459017,0.8797431709915371,0.6538626087532052,0.6538626087532052,0.8365780957221389,7.481519390712883,7.481519390712883,0.6323398611940723,0.7674996246251398,0.7714568364242983,0.8740016717472703,0.8353633405164763,5.687607775159888,4.472828467450777,0.933023292296235,7.005549547828407,6.492188081635101
punish,1.0,3,0.1669921875,0.1669921875,0.007242381335054358,1.3359375,2.609410085841961,1.0,0.73046875,1.2808988764044944,0.8078858048672952,0.7247555129645666,0.7247555129645666,0.8618134577883998,19.74901160976092,19.74901160976092,0.1488719493833042,0.22434925710068876,0.21849512380780778,0.43959044299282946,0.9157403215970275,6.71837371335293,6.126704140745235,0.9865710398034111,7.791665930251015,7.649601367205907
no_learning,1.0,4,0.155517578125,0.158203125,0.011756835085775885,1.244140625,1.072091288195464,1.0,0.279296875,1.3611111111111112,0.6324190299349202,0.7353958813978823,0.7353958813978823,0.9275611101539896,24.016897100615196,24.016897100615196,0.27895409022847684,0.34815580077554076,0.3231022846085372,0.3790602964953185,0.8872815258196018,6.345833385737031,5.515753908023148,0.8988672351677156,6.495703090997843,5.742376573395396
encourage,1.0,4,0.1806640625,0.177734375,0.022735247513325813,1.4453125,1.0883516331332213,1.0,0.24609375,1.7452830188679245,0.808882912820533,0.6612533495549451,0.6612533495549451,0.8753264277298183,8.61946716722461,8.61946716722461,0.5471939370920047,0.6766436786179197,0.6338780014830628,0.7968410545233509,0.8393671133829343,5.748501071258232,4.654031012308712,0.8597025444205093,6.078511085986248,5.1792371221108535
punish,1.0,4,0.16650390625,0.1640625,0.008883498729814577,1.33203125,2.539359958537473,1.0,0.69921875,1.2867924528301886,0.8094948567470168,0.7248801326677239,0.7248801326677239,0.8677003929146385,18.529790584917254,18.529790584917254,0.1638136010247842,0.2322948579365935,0.23136101757796795,0.42716659186803624,0.9099636591693674,6.6408856414840045,6.062440888855541,0.9684281397380823,7.545168049663688,7.3031293716517
no_learning,1.0,5,0.15673828125,0.1591796875,0.01397371877075604,1.25390625,1.0560393535332562,1.0,0.275390625,1.351578947368421,0.522223624847024,0.7256456771951381,0.7256456771951381,0.9286086476178301,22.084381335504286,22.084381335504286,0.28991415981083923,0.36443791847547335,0.3051423227805676,0.381980726323998,0.892448228676409,6.42498073524659,5.621989471144506,0.8986470916340029,6.507278015181993,5.790228473982725
encourage,1.0,5,0.190185546875,0.1875,0.021681831872411194,1.521484375,1.7797491878438545,1.0,0.38671875,1.4189435336976322,0.5282682028231909,0.6646523579285486,0.6646523579285486,0.873818300807079,10.680261662362021,10.680261662362021,0.37302091407459836,0.5464048068027476,0.4131479870647262,0.7619059898957097,0.8638180650710914,6.051982734678463,5.0518313419687075,0.9147709716754264,6.731457584323509,6.034144249165671
punish,1.0,5,0.16845703125,0.166015625,0.007025143832977617,1.34765625,2.6026268233913092,1.0,0.724609375,1.311787072243346,0.8115194910626322,0.726230408317925,0.726230408317925,0.865360966748063,20.563561330760976,20.563561330760976,0.1642766017959095,0.22686197002575892,0.23470865529831555,0.42607167035461435,0.9276612488216365,6.886397948880206,6.326572216188318,0.9869857974761862,7.799672133075774,7.714048240757057
no_learning,1.0,6,0.15966796875,0.1572265625,0.0168226886493674,1.27734375,0.994729457860748,1.0,0.240234375,1.4931506849315068,0.6730500081091809,0.71884113354506,0.71884113354506,0.9281857542746272,18.169277777072676,18.169277777072676,0.37790749057641526,0.47437511432855095,0.4313043897104062,0.33780691729936707,0.8847676476117494,6.315331735880198,5.513702297924225,0.8911873114860467,6.390515721075693,5.689882720661829
encourage,1.0,6,0.166748046875,0.1611328125,0.020012086554026535,1.333984375,1.1318270902641707,1.0,0.265625,1.7160804020100502,0.6956497390541476,0.6815475566649742,0.6815475566649742,0.9050733142128943,10.6046090154199,10.6046090154199,0.5069008833030217,0.6447281026006471,0.5833057596282046,0.7564446313731359,0.8554819850353884,5.952560348947294,4.982742366747887,0.8844441817918212,6.398234184848797,5.588392040571996
punish,1.0,6,0.16357421875,0.1630859375,0.01158575245869597,1.30859375,2.5484531872217975,1.0,0.7265625,1.2909441233140655,0.8026549506031513,0.727835665557441,0.727835665557441,0.8681979633839974,21.22349083145147,21.22349083145147,0.16923052133518507,0.22231641962925824,0.21773506944366683,0.43153708970200055,0.915801711345022,6.717414740650553,6.124772513575334,0.9889927628373709,7.823918864886996,7.682100728336522
no_learning,1.0,7,0.166015625,0.16796875,0.011637085242004868,1.328125,0.9404900235382617,1.0,0.18359375,1.4166666666666667,0.6930968975303072,0.720375279028589,0.720375279028589,0.9319136198138184,25.671532711133672,25.671532711133672,0.30359629733612203,0.3745520055100293,0.3128729864838525,0.33514894802760564,0.861457076142512,6.029029357739601,5.253955671064075,0.8569043897672746,5.994611202412614,5.132662948189619
encourage,1.0,7,0.191650390625,0.2001953125,0.023180506307027605,1.533203125,1.3915450235224998,1.0,0.29296875,1.632016632016632,0.6073762063385263,0.6566157475789409,0.6566157475789409,0.8771630171033419,8.990376741021368,8.990376741021368,0.4687397078006336,0.657834769646735,0.5114617383256184,0.8440011146478975,0.8331476489452253,5.665782251754994,4.565319482553457,0.8979029167366979,6.510961620155505,5.637622636203858
punish,1.0,7,0.164794921875,0.16796875,0.0070378590358396356,1.318359375,2.643944814732261,1.0,0.740234375,1.2664165103189493,0.8089410634604611,0.7268788033073972,0.7268788033073972,0.8647779577886929,20.60161837617131,20.60161837617131,0.1523346422955012,0.23110554516023807,0.22715491065483306,0.43779056387981863,0.9233515306382039,6.827186997844478,6.255388679337904,0.9889524900656632,7.827056417125034,7.738391607600416
no_learning,1.0,8,0.165771484375,0.169921875,0.010216052711380702,1.326171875,1.187935197289391,1.0,0.287109375,1.4955947136563876,0.6653878210409109,0.7110308618710639,0.7110308618710639,0.9132493024770666,18.39977401919071,18.39977401919071,0.344273995713734,0.4444128475611338,0.3980298121745309,0.3763862837609744,0.8998306471040332,6.529938926632012,5.834796575634252,0.9038950807858925,6.556629890945677,5.880000775058254
encourage,1.0,8,0.17529296875,0.166015625,0.026071658348071278,1.40234375,1.553170388861421,1.0,0.4296875,1.6973995271867612,0.8366185275340601,0.6617463326328346,0.6617463326328346,0.8660820151512614,8.332458239109204,8.332458239109204,0.5424534430163106,0.7142535673012632,0.6213900364666389,0.8171585859239867,0.8294003412714481,5.641683318962848,4.5853091037320945,0.8663125964339278,6.242421940508197,5.544009641463434
punish,1.0,8,0.163330078125,0.162109375,0.005518874294656892,1.306640625,2.542934997615867,1.0,0.73046875,1.2816091954022988,0.7974053614747647,0.7250238242788638,0.7250238242788638,0.8676056858117391,19.1561625582468,19.1561625582468,0.16431806910819352,0.21992097463935872,0.21610869163362556,0.4183875779316876,0.9164536968163206,6.7314957230441745,6.14648252669755,0.9809302256764953,7.714417864079154,7.562947494839959
no_learning,1.0,9,0.171630859375,0.171875,0.027211550893778136,1.373046875,1.1889366694877967,1.0,0.259765625,1.5053533190578159,0.6941987036403661,0.7112839481850757,0.7112839481850757,0.9113662289492761,22.883255324934368,22.883255324934368,0.33164805172867085,0.3873255069564713,0.3514482935328602,0.4199332716374553,0.8531323598131274,5.945599633478172,5.064254404460268,0.8681245091582706,6.111660052118568,5.353052089914168
encourage,1.0,9,0.193359375,0.1943359375,0.016253239235442616,1.546875,1.3425685212960268,1.0,0.310546875,1.894736842105263,0.6611353247027676,0.6512549306440281,0.6512549306440281,0.8619314596763599,8.254728563713147,8.254728563713147,0.5270631554145925,0.6570166286150371,0.623145432451993,0.8033911512931141,0.8237375207775013,5.563815288890908,4.589267769670446,0.8618123671714912,6.112405856481285,5.3922582354503925
punish,1.0,9,0.166259765625,0.1669921875,0.009689030680168178,1.330078125,2.597029852811955,1.0,0.7265625,1.2849056603773585,0.8042176446773641,0.7220401626673969,0.7220401626673969,0.8655408148466948,19.144004038914236,19.144004038914236,0.1513652528030835,0.22126306329839807,0.22277497140056807,0.4311273185311517,0.9161542791841489,6.726127915000653,6.140557981932176,0.9860379606678974,7.783024399168724,7.625148104039451
no_learning,1.5,0,0.060302734375,0.060546875,0.014564783924096342,0.482421875,0.8001974815765696,1.0,0.654296875,1.1435185185185186,0.20232106593829713,0.8461081187054921,0.8461081187054921,0.9804422152233079,52.25176389980967,52.25176389980967,0.2640044803452493,0.3541905101026357,0.30169190766692416,0.3333846769519655,0.8994030282055496,6.507844337177997,5.872643650754575,0.9042892528198263,6.5811317637756295,5.979040874415422
