backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C05,node_coverage_fraction,interaction,6.83060109289609e-05,0.0015380232580870987,3,-0.0014344262295081789,0.0,0.0016393442622950616
C05,connected_fraction,D8_minus_D4,-0.0008196721311475308,0.0009390523965073326,3,-0.0006147540983606481,0.0,-0.0018442622950819443
C05,connected_fraction,H10k_minus_H5k,0.0004098360655737654,0.0012797127045898198,3,-0.0006147540983606481,0.0,0.0018442622950819443
C05,connected_fraction,interaction,0.0008196721311475308,0.0025594254091796395,3,-0.0012295081967212962,0.0,0.0036885245901638886
C05,isolated_fraction,D8_minus_D4,0.0008196721311475411,0.0009390523965073442,3,0.0006147540983606558,0.0,0.0018442622950819673
C05,isolated_fraction,H10k_minus_H5k,-0.00040983606557377044,0.0012797127045898358,3,0.0006147540983606558,0.0,-0.0018442622950819673
C05,isolated_fraction,interaction,-0.0008196721311475409,0.0025594254091796716,3,0.0012295081967213116,0.0,-0.0036885245901639345
C05,redundant_pair_count,D8_minus_D4,2.283583189531205,0.8238672852599801,3,3.14255284728214,1.5,2.2081967213114755
C05,redundant_pair_count,H10k_minus_H5k,-0.7677829306873744,1.9693670625123905,3,-1.7558078084555653,1.5,-2.0475409836065577
C05,redundant_pair_count,interaction,-1.2491335921771645,4.213508331870269,3,-5.426089301121657,3.0,-1.3213114754098363
C05,eligible_vertex_count,D8_minus_D4,1.735495757837216,0.6430753499806967,3,2.1917331751509925,1.0,2.0147540983606556
C05,eligible_vertex_count,H10k_minus_H5k,-0.4109523295944779,1.2601799363052935,3,-0.8082668248490077,1.0,-1.424590163934426
C05,eligible_vertex_count,interaction,-0.9289150129421916,2.779949700251836,3,-3.531007333908542,2.0,-1.2557377049180327
C05,birth_protected_count,D8_minus_D4,0.11803278688524592,0.10409513355008225,3,0.19672131147540983,0.0,0.15737704918032788
C05,birth_protected_count,H10k_minus_H5k,0.01311475409836065,0.1774131050290975,3,0.19672131147540983,0.0,-0.15737704918032788
C05,birth_protected_count,interaction,0.0262295081967213,0.354826210058195,3,0.39344262295081966,0.0,-0.31475409836065577
C05,isolated_assignments_per_rollout,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,isolated_assignments_per_rollout,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,isolated_assignments_per_rollout,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,redundant_assignments_per_rollout,D8_minus_D4,0.00273224043715847,0.0025041397240195846,3,0.003278688524590164,0.0,0.004918032786885246
C05,redundant_assignments_per_rollout,H10k_minus_H5k,-0.0005464480874316941,0.004125592587579645,3,0.003278688524590164,0.0,-0.004918032786885246
C05,redundant_assignments_per_rollout,interaction,-0.0010928961748633882,0.00825118517515929,3,0.006557377049180328,0.0,-0.009836065573770493
C05,repeat_assignments_per_rollout,D8_minus_D4,0.000546448087431694,0.000946475851130534,3,0.001639344262295082,0.0,0.0
C05,repeat_assignments_per_rollout,H10k_minus_H5k,0.000546448087431694,0.000946475851130534,3,0.001639344262295082,0.0,0.0
C05,repeat_assignments_per_rollout,interaction,0.001092896174863388,0.001892951702261068,3,0.003278688524590164,0.0,0.0
C05,passive_graph_density,D8_minus_D4,-0.02296899675786553,0.0330079982472436,3,-0.005660327713586211,-0.002215246843463914,-0.06103141571654647
C05,passive_graph_density,H10k_minus_H5k,0.05688073040894085,0.04341129809622347,3,0.00843803943026361,0.06994321975360845,0.0922609320429505
C05,passive_graph_density,interaction,0.11036423232616095,0.07988694998923535,3,0.01924413184959184,0.16836495157529663,0.1434836135535944
C05,passive_updates_per_rollout,D8_minus_D4,26.2079792629584,157.09242983261137,3,-151.11869068162207,81.78853010984142,147.95409836065585
C05,passive_updates_per_rollout,H10k_minus_H5k,-51.33081855124923,157.30854946550525,3,-224.279346419327,-12.9458961196666,83.2327868852459
C05,passive_updates_per_rollout,interaction,-13.218144318266468,386.53073905792246,3,-420.6872088006901,348.2590053540873,32.77377049180336
C05,passive_stale_per_rollout,D8_minus_D4,3.681967213114754,3.61431022143651,3,3.821311475409836,0.0,7.224590163934426
C05,passive_stale_per_rollout,H10k_minus_H5k,-1.1344262295081966,5.609650426645515,3,3.821311475409836,0.0,-7.224590163934426
C05,passive_stale_per_rollout,interaction,-2.268852459016393,11.21930085329103,3,7.642622950819672,0.0,-14.449180327868852
C05,passive_over_gap_per_rollout,D8_minus_D4,-0.006557377049180329,0.01135771021356641,3,0.0,-0.019672131147540985,0.0
C05,passive_over_gap_per_rollout,H10k_minus_H5k,0.006557377049180329,0.01135771021356641,3,0.0,0.019672131147540985,0.0
