source,repeat,prefix_seed,command,target,initial_action_probabilities,commanded,deadline,hit,hit_time,first_distinct,censored,timeout,elapsed,path_length,start_position,endpoint,exact_start_verified
15,1,31001,0,0,"[0.08259406685829163, 0.11264120787382126, 0.10499516874551773, 0.10706378519535065, 0.15417754650115967, 0.11374280601739883, 0.11709685623645782, 0.207688570022583]",True,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,0,1,"[0.08259406685829163, 0.11264120787382126, 0.10499516874551773, 0.10706378519535065, 0.15417754650115967, 0.11374280601739883, 0.11709685623645782, 0.207688570022583]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,0,2,"[0.08259406685829163, 0.11264120787382126, 0.10499516874551773, 0.10706378519535065, 0.15417754650115967, 0.11374280601739883, 0.11709685623645782, 0.207688570022583]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,0,3,"[0.08259406685829163, 0.11264120787382126, 0.10499516874551773, 0.10706378519535065, 0.15417754650115967, 0.11374280601739883, 0.11709685623645782, 0.207688570022583]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,1,0,"[0.0824359878897667, 0.11291433125734329, 0.10588822513818741, 0.1074247732758522, 0.15518862009048462, 0.11341603100299835, 0.1162106916308403, 0.20652134716510773]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,1,1,"[0.0824359878897667, 0.11291433125734329, 0.10588822513818741, 0.1074247732758522, 0.15518862009048462, 0.11341603100299835, 0.1162106916308403, 0.20652134716510773]",True,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,1,2,"[0.0824359878897667, 0.11291433125734329, 0.10588822513818741, 0.1074247732758522, 0.15518862009048462, 0.11341603100299835, 0.1162106916308403, 0.20652134716510773]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,1,3,"[0.0824359878897667, 0.11291433125734329, 0.10588822513818741, 0.1074247732758522, 0.15518862009048462, 0.11341603100299835, 0.1162106916308403, 0.20652134716510773]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,2,0,"[0.08235200494527817, 0.11276648938655853, 0.10504334419965744, 0.10675586014986038, 0.15378764271736145, 0.11406658589839935, 0.11755992472171783, 0.20766812562942505]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,2,1,"[0.08235200494527817, 0.11276648938655853, 0.10504334419965744, 0.10675586014986038, 0.15378764271736145, 0.11406658589839935, 0.11755992472171783, 0.20766812562942505]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,2,2,"[0.08235200494527817, 0.11276648938655853, 0.10504334419965744, 0.10675586014986038, 0.15378764271736145, 0.11406658589839935, 0.11755992472171783, 0.20766812562942505]",True,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,2,3,"[0.08235200494527817, 0.11276648938655853, 0.10504334419965744, 0.10675586014986038, 0.15378764271736145, 0.11406658589839935, 0.11755992472171783, 0.20766812562942505]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,3,0,"[0.08253708481788635, 0.1134285256266594, 0.10480856895446777, 0.10761769860982895, 0.15349364280700684, 0.11409854888916016, 0.11667177826166153, 0.2073442041873932]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,3,1,"[0.08253708481788635, 0.1134285256266594, 0.10480856895446777, 0.10761769860982895, 0.15349364280700684, 0.11409854888916016, 0.11667177826166153, 0.2073442041873932]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,3,2,"[0.08253708481788635, 0.1134285256266594, 0.10480856895446777, 0.10761769860982895, 0.15349364280700684, 0.11409854888916016, 0.11667177826166153, 0.2073442041873932]",False,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,1,31001,3,3,"[0.08253708481788635, 0.1134285256266594, 0.10480856895446777, 0.10761769860982895, 0.15349364280700684, 0.11409854888916016, 0.11667177826166153, 0.2073442041873932]",True,64,False,,10,False,True,64,794.3082040884602,"[583.8745727539062, 1390.068115234375, 25.125]","[1083.8743896484375, 1086.940185546875, 25.125]",True
15,2,31002,0,0,"[0.04817965254187584, 0.16842545568943024, 0.11239789426326752, 0.11265721172094345, 0.25210464000701904, 0.05300578474998474, 0.15942172706127167, 0.09380768239498138]",True,64,False,,1,False,True,64,771.8234449190871,"[1716.1256103515625, 493.1216125488281, 25.125]","[1640.048095703125, 859.5030517578125, 25.125]",True
15,2,31002,0,1,"[0.04817965254187584, 0.16842545568943024, 0.11239789426326752, 0.11265721172094345, 0.25210464000701904, 0.05300578474998474, 0.15942172706127167, 0.09380768239498138]",False,64,True,12.0,1,False,False,64,771.8234449190871,"[1716.1256103515625, 493.1216125488281, 25.125]","[1640.048095703125, 859.5030517578125, 25.125]",True
15,2,31002,0,2,"[0.04817965254187584, 0.16842545568943024, 0.11239789426326752, 0.11265721172094345, 0.25210464000701904, 0.05300578474998474, 0.15942172706127167, 0.09380768239498138]",False,64,False,,1,False,True,64,771.8234449190871,"[1716.1256103515625, 493.1216125488281, 25.125]","[1640.048095703125, 859.5030517578125, 25.125]",True
15,2,31002,0,3,"[0.04817965254187584, 0.16842545568943024, 0.11239789426326752, 0.11265721172094345, 0.25210464000701904, 0.05300578474998474, 0.15942172706127167, 0.09380768239498138]",False,64,False,,1,False,True,64,771.8234449190871,"[1716.1256103515625, 493.1216125488281, 25.125]","[1640.048095703125, 859.5030517578125, 25.125]",True
