label,frames,visited_cells,visited_cell_fraction,mean_spatial_information_bits,median_spatial_information_bits,max_spatial_information_bits,units_si_over_0_5_bits,mean_active_fraction,silent_units,map_cosine_mean,map_cosine_min,map_cosine_max,unique_peak_bins,mean_pre_threshold_logit,mean_pre_threshold_logit_std,mean_pre_threshold_above_fraction
GSR_C05_D8_H5K_S8__00_GSR_C05_D8_H5K_S8__gsr_c05_d8_h5k__s8__f74252288,10001,249,0.6897506925207756,0.091299061670928,0.04460104664076372,0.30455133119849487,0,0.03002824717528247,0,0.16358271148938158,2.993887560663517e-05,0.6607298521574364,15,-0.012178112752735615,1.0265796184539795,0.03002824717528247
GSR_C05_D8_H5K_S99__00_GSR_C05_D8_H5K_S99__gsr_c05_d8_h5k__s99__f73662464,10001,313,0.8670360110803325,0.14392178831368008,0.13897317781117946,0.2238073837704287,0,0.02332891710828917,0,0.08654238624648973,0.0,0.8934310579128841,16,0.005140111781656742,0.9460703730583191,0.02332891710828917
GSR_C13_D4_H10K_S123__00_GSR_C13_D4_H10K_S123__gsr_c13_d4_h10k__s123__f73564160,10001,182,0.5041551246537396,0.19013450797195994,0.19395790866946352,0.2524010541210134,0,0.03104064593540646,0,0.05394583492261927,0.0,0.6077457726627328,16,0.008506571874022484,1.0036060810089111,0.03104064593540646
GSR_C13_D4_H10K_S8__00_GSR_C13_D4_H10K_S8__gsr_c13_d4_h10k__s8__f73990144,10001,199,0.5512465373961218,0.2324657519971233,0.2627662655463504,0.42624948362253984,0,0.025784921507849216,0,0.0490858579117076,0.0,0.4267804259180804,16,0.011743515729904175,0.9763457775115967,0.025784921507849216
GSR_C13_D4_H10K_S99__00_GSR_C13_D4_H10K_S99__gsr_c13_d4_h10k__s99__f73859072,10001,179,0.49584487534626037,0.17726540199754584,0.24394929817700556,0.31199133028461257,0,0.02574117588241176,0,0.05145045969025313,0.0,0.5104160319647049,16,-0.012995736673474312,0.8624563217163086,0.02574117588241176
GSR_C13_D4_H5K_S123__00_GSR_C13_D4_H5K_S123__gsr_c13_d4_h5k__s123__f75988992,10001,206,0.5706371191135734,0.17759765918586676,0.1832950265500817,0.25076299781328737,0,0.025822417758224178,0,0.07350576760506694,0.0,0.561724020598191,16,-0.016930285841226578,0.9657713174819946,0.025822417758224178
GSR_C13_D4_H5K_S8__00_GSR_C13_D4_H5K_S8__gsr_c13_d4_h5k__s8__f76972032,10001,240,0.6648199445983379,0.147405420589454,0.14084540684149133,0.23367489023201632,0,0.025334966503349668,0,0.08454081513493428,1.6782894668794588e-05,0.6899200775504587,16,-0.010446492582559586,1.0061569213867188,0.025334966503349668
GSR_C13_D4_H5K_S99__00_GSR_C13_D4_H5K_S99__gsr_c13_d4_h5k__s99__f74579968,10001,280,0.775623268698061,0.13157801077433556,0.12657644998592862,0.21931756258571958,0,0.024935006499350064,0,0.10142334153078268,0.008144865422819088,0.4122220859864631,16,0.0011280998587608337,0.9953375458717346,0.024935006499350064
GSR_C13_D8_H10K_S123__00_GSR_C13_D8_H10K_S123__gsr_c13_d8_h10k__s123__f73465856,10001,215,0.5955678670360111,0.14993697216875243,0.14973757004761726,0.24254920413813444,0,0.026616088391160884,0,0.0742801624758918,1.3122084438558866e-05,0.4690219667522117,15,-0.0047385371290147305,0.9917309284210205,0.026616088391160884
GSR_C13_D8_H10K_S8__00_GSR_C13_D8_H10K_S8__gsr_c13_d8_h10k__s8__f74842112,10001,211,0.5844875346260388,0.20378735915730517,0.21865293637509042,0.30764437939743544,0,0.02544120587941206,0,0.03812963786946875,0.0,0.41494278542418633,16,0.018736638128757477,1.00791335105896,0.02544120587941206
