run,goal,scale_rms,shift_rms,centered_scale_rms,centered_shift_rms
SAT_C15_ARR_DIRO_FILM_S8,2,0.0351526895861239,0.056841266669575584,0.022528697848102193,0.02322069623523186
SAT_C15_ARR_DIRO_FILM_S8,3,0.03641561147342516,0.05693215660118998,0.02535727805824956,0.027092040910146546
SAT_C15_ARR_DIRO_FILM_S8,4,0.019153094010850132,0.03467125363980949,0.01514832941481754,0.021438034596513854
SAT_C15_ARR_DIRO_FILM_S8,5,0.04110873150774644,0.058921049867000294,0.02040707983536333,0.02089451911453427
SAT_C15_ARR_DIRO_FILM_S8,6,0.04957167294400361,0.05234391938867836,0.02370704732517235,0.02200531379015192
SAT_C15_ARR_DIRO_FILM_S8,7,0.04224161190253526,0.06493009981187726,0.03311089200615581,0.037785446207368595
SAT_C15_ARR_DIRO_FILM_S8,8,0.04957453173750647,0.09480497074017369,0.03001848867542941,0.04676159767707663
SAT_C15_ARR_DIRO_FILM_S8,9,0.022697008424409238,0.04398910865276179,0.014865483589348097,0.01688242528627799
SAT_C15_ARR_DIRO_FILM_S8,10,0.04760372120678529,0.10081673460982468,0.027328923363191097,0.05141138151042872
SAT_C15_ARR_DIRO_FILM_S8,11,0.0639001317664092,0.069074805530107,0.042123969582084884,0.03653706619214653
SAT_C15_ARR_DIRO_FILM_S8,12,0.02885048997441382,0.050454950033121795,0.0168771965851194,0.019976477465605852
SAT_C15_ARR_DIRO_FILM_S8,13,0.036379851901837595,0.07136141251173012,0.02012518578284921,0.026349320883248543
SAT_C15_ARR_DIRO_FILM_S8,14,0.030651804980349348,0.04366513687939685,0.016686531553070986,0.019654634053049194
SAT_C15_ARR_DIRO_FILM_S8,15,0.01659588687779253,0.03719737867500905,0.01722034511316732,0.020623013794069965
DGP_C15_HIT_JOINT_FILM_S99,0,0.11472618816907156,0.123084738260881,0.09775177837421645,0.08763677448725676
DGP_C15_HIT_JOINT_FILM_S99,1,0.045581363430977934,0.05718122342540368,0.039928224178393125,0.019093185197379625
DGP_C15_HIT_JOINT_FILM_S99,2,0.05584701923588307,0.05353229405597684,0.03873508665276284,0.017383888281485144
DGP_C15_HIT_JOINT_FILM_S99,3,0.03806718841322866,0.03477017086642255,0.03655271717540204,0.026335114457943103
DGP_C15_HIT_JOINT_FILM_S99,4,0.05074067271430426,0.04080228235914988,0.03814704846544897,0.045005830863179004
DGP_C15_HIT_JOINT_FILM_S99,5,0.0553477777130766,0.06531809718962267,0.05084484983925287,0.030250150943957974
DGP_C15_HIT_JOINT_FILM_S99,6,0.041938485271560424,0.06553248441967621,0.03849611425872896,0.026263065947995375
DGP_C15_HIT_JOINT_FILM_S99,7,0.044683068670015993,0.039346787908215004,0.04956880875899672,0.028304102347486714
DGP_C15_HIT_JOINT_FILM_S99,8,0.028927373696706896,0.04578223689517615,0.025904333706091572,0.01654914117428171
DGP_C15_HIT_JOINT_FILM_S99,9,0.04643922153651522,0.0631269480273721,0.040338382719402405,0.030561035972713885
