run,unit,ca3_weight_rms,depth_weight_rms,instruction_weight_rms,dimension_normalized_depth_share,total_energy_depth_share,scale_sd_across_goals,shift_sd_across_goals
SCR_C15_ARR_DIRS_S123,125,0.031009769425119148,0.027607275126761546,0.015891400101089092,0.44214876227552213,0.006928705616647348,0.009841736782141324,0.04297323719739772
SCR_C15_ARR_DIRS_S123,126,0.033688817278646144,0.02414405476576145,0.010917532413891253,0.3393357897074066,0.004501024453412262,0.031746187591895056,0.010279602108419564
SCR_C15_ARR_DIRS_S123,127,0.03021074429137103,0.031314858124203086,0.018751787552510273,0.5179398222874637,0.00936939303645367,0.029184316961225018,0.04947928532807984
SAT_C15_ARR_DIRO_FILM_S8,0,0.030025605602492293,0.035285319314351526,0.018778662911565023,0.5800144990779821,0.012010977142246996,0.014831220346883157,0.022746374418605317
SAT_C15_ARR_DIRO_FILM_S8,1,0.031212420369146076,0.03629773945326276,0.033979380329684214,0.5749017216438865,0.011764845567120328,0.020799991837443264,0.06047175525946754
SAT_C15_ARR_DIRO_FILM_S8,2,0.02966742935031675,0.03796106987818514,0.045543126334524835,0.6208182529795985,0.014207711806047081,0.03251919299658858,0.01853036609652826
SAT_C15_ARR_DIRO_FILM_S8,3,0.0301815621281478,0.03172164063508392,0.035366562115509974,0.5248634285093166,0.009630454838171485,0.012302512336972842,0.023372840729592444
SAT_C15_ARR_DIRO_FILM_S8,4,0.030193293434440494,0.03118025027312032,0.02302544116098959,0.516076987164949,0.009300405238660124,0.013177615362488323,0.021037725424477904
SAT_C15_ARR_DIRO_FILM_S8,5,0.029043084681386534,0.041172838573746394,0.06098747934398852,0.6677434762677648,0.01738368234121216,0.01331925206780613,0.02170307268896498
SAT_C15_ARR_DIRO_FILM_S8,6,0.03175950898118396,0.023597685043910056,0.02826629850846461,0.3556976296143167,0.004836235768128314,0.035546277923259643,0.03976169536383296
SAT_C15_ARR_DIRO_FILM_S8,7,0.0320512071671188,0.03637845803184184,0.021394931084455615,0.562984609637695,0.011213060895069618,0.01726821713325104,0.0220428777693454
SAT_C15_ARR_DIRO_FILM_S8,8,0.031216110061473908,0.02818033611153478,0.03221034993651808,0.4490228027417762,0.0071228199854392734,0.0345748256169041,0.028396298031416075
SAT_C15_ARR_DIRO_FILM_S8,9,0.03113410065101628,0.029913773251848217,0.036757198409393343,0.48001830549260166,0.008060769081432606,0.0402364081382816,0.03687760282272304
SAT_C15_ARR_DIRO_FILM_S8,10,0.030425875065504975,0.025869638064330194,0.01881822748157839,0.41959241530543767,0.006323553747636072,0.01687117065112241,0.020682844688111615
SAT_C15_ARR_DIRO_FILM_S8,11,0.03094843373415078,0.04083792072207007,0.024336962250272456,0.6351969235891459,0.015096122447363141,0.026559743898377255,0.02258143955830731
SAT_C15_ARR_DIRO_FILM_S8,12,0.03046315731824287,0.03618451373141665,0.010557758436882319,0.5852168154232985,0.012267516759650888,0.015967877045024236,0.043271914610731765
SAT_C15_ARR_DIRO_FILM_S8,13,0.031146256058025592,0.04067177191051696,0.018057880877912207,0.6303411155023579,0.014788550417016573,0.016834224052310373,0.023465039350646578
SAT_C15_ARR_DIRO_FILM_S8,14,0.031049052044369845,0.01802568139599419,0.024074738264305662,0.2520814965279131,0.0029581605602482484,0.040028295408573326,0.04466757236922574
SAT_C15_ARR_DIRO_FILM_S8,15,0.030393717448018883,0.03026615308493589,0.05701274958461123,0.4978970644377081,0.00865354253734807,0.03183794463056941,0.03290351134914647
SAT_C15_ARR_DIRO_FILM_S8,16,0.030211915605337678,0.039925247812404155,0.04436362024145824,0.6358843096590946,0.015140309264477684,0.02149521021898547,0.019982177905858454
SAT_C15_ARR_DIRO_FILM_S8,17,0.031427162373890455,0.03017164708039779,0.036123079400249974,0.47962632816030715,0.008048221648636264,0.018962091618175383,0.027706784585451904
SAT_C15_ARR_DIRO_FILM_S8,18,0.03107635090280582,0.03562081929749702,0.03304492093468168,0.5678209916056083,0.011433399459728447,0.030366551336839204,0.027019921423903463
SAT_C15_ARR_DIRO_FILM_S8,19,0.03154954697844373,0.03514240683473191,0.015967711629858067,0.5537165651415243,0.01080390633681262,0.04071316961130259,0.02477610612567134
SAT_C15_ARR_DIRO_FILM_S8,20,0.031119194762052167,0.031573629254559206,0.017847823643117617,0.5072482078128593,0.008980411066980673,0.010426147719131631,0.02198447779489803
SAT_C15_ARR_DIRO_FILM_S8,21,0.03004839595071548,0.04118586733155394,0.027894979707346078,0.652619100883,0.016268668803630926,0.019666188178253066,0.02205166438387609
SAT_C15_ARR_DIRO_FILM_S8,22,0.03180759338728213,0.029403242029263855,0.05022178716736244,0.4607806792660181,0.007466134651319062,0.019213720597121065,0.03401892880807602
SAT_C15_ARR_DIRO_FILM_S8,23,0.030196725502405507,0.022207035114302248,0.024501711703105267,0.3509994946997089,0.0047382767903147455,0.014740831629336749,0.023593127300392095
SAT_C15_ARR_DIRO_FILM_S8,24,0.03031655552926126,0.03387329544335222,0.06290423011997112,0.5552400926441693,0.010870016971763829,0.014500651047484915,0.04161118246730981
SAT_C15_ARR_DIRO_FILM_S8,25,0.030157677043285182,0.03372154027061802,0.03493596546073654,0.5556175377139853,0.01088646418773538,0.029005722617462388,0.027882296099086757
SAT_C15_ARR_DIRO_FILM_S8,26,0.030370549718528816,0.02577626778887982,0.020835678558474797,0.41871800451568375,0.0063010260367956554,0.020217028262110033,0.022443530769945482
SAT_C15_ARR_DIRO_FILM_S8,27,0.031026476823313043,0.04432856203614973,0.03295661439558068,0.6711909664100455,0.017651819412233684,0.03536092055071829,0.026016397303816625
SAT_C15_ARR_DIRO_FILM_S8,28,0.030155804957368915,0.03397804970443774,0.026183010302971637,0.5593869889483853,0.011052233855959721,0.009681849688040343,0.02395593130325481
SAT_C15_ARR_DIRO_FILM_S8,29,0.03127291531555566,0.03023138768721424,0.053257452406773494,0.48307063105495474,0.008159115904075016,0.015194611089823371,0.023018085695406088
