run_name,worker_outcome,ppo_dg_gradient,goal_conditioning,seed,window_low,window_high,samples,run_state,max_env_steps,coverage_auc,dg_density,silent_fraction,usage_entropy,option_success,action_tv,action_sensitivity,target_num,target_count,shuffle_num,shuffle_count,correct,wrong,timeout,command_entropy,pair_coverage,candidate_pairs,candidate_sources,candidate_count,behavior_candidate_count,commanded_num,commanded_count,first_shuffle_num,first_shuffle_count,largest_scc,reachable_pairs,top3_incoming,ppo_dg_norm,encoder_dg_norm,gradient_ratio,gradient_cosine,row_conflict,target_rate,shuffle_rate,target_advantage,first_commanded_rate,first_shuffle_rate,first_advantage
DGP_C15_HIT_STOP_LEG_S123,HIT,STOP,LEG,123,10000000,15000000,152,running,26148864.0,51.6432251118421,0.030734614361842105,0.0,0.9902665696710526,0.48785139046052634,0.0001741397612631579,0.0008557507631578948,18.31578947368421,971.2697368421053,17.855263157894736,945.3157894736842,17.42763157894737,0.0,18.644736842105264,0.9948751543421054,1.0,240.0,1.0,15.0,15.0,17.42763157894737,17.42763157894737,0.0,17.42763157894737,14.901315789473685,0.9313322368421053,0.31499684973684206,0.0,0.13844834497368422,0.0,0.0,0.0,0.018857572493954602,0.01888814653972496,-0.0016186895684050517,1.0,0.0,
DGP_C15_FIRST_JOINT_FILM_S8,FIRST,JOINT,FILM,8,15000000,20000000,153,running,29687808.0,28.707952503267972,0.032758725300653595,0.0,0.9860522981699346,0.06250770389542484,0.0015156709705228758,0.018105716519607844,21.104575163398692,833.8104575163399,21.320261437908496,806.1307189542483,19.666666666666668,330.69934640522877,0.39869281045751637,0.9592878864705883,1.0,240.0,1.0,15.0,15.0,19.666666666666668,350.36601307189545,23.954248366013072,350.36601307189545,1.0784313725490196,0.02617102460784314,0.8064280963398692,0.20943081333333333,0.11148355215686274,1.907516530718954,-0.01794290303895425,0.5228758169934641,0.025310998408754202,0.0264476479268352,-0.04297733852270824,0.05613177629369847,0.06836921240159684,-0.17899045020463844
DGP_C15_FIRST_JOINT_FILM_S99,FIRST,JOINT,FILM,99,15000000,20000000,153,running,31064064.0,41.35923437254902,0.03355477522222222,0.0,0.994850689607843,0.06653757086274509,0.0006599529822875817,0.012807281019607843,21.098039215686274,776.9019607843137,21.41176470588235,748.4967320261438,20.359477124183005,312.03921568627453,0.13725490196078433,0.9651393955555556,1.0,240.0,1.0,15.0,15.0,20.359477124183005,332.39869281045753,22.22222222222222,332.39869281045753,1.0,0.01827342098039216,0.9192709611764706,0.1175052510980392,0.11523659600653595,1.0268360584313725,-0.013971464109267973,0.5191993464052288,0.027156630154964414,0.02860635696821516,-0.05067848432645772,0.06125017205104509,0.06685412037674263,-0.08382352941176463
DGP_C15_FIRST_JOINT_FILM_S123,FIRST,JOINT,FILM,123,15000000,20000000,153,running,30670848.0,53.177892032679736,0.03516602360130719,0.0,0.993629811633987,0.0648970888627451,0.0019547546479738564,0.01727119804901961,21.751633986928105,764.3333333333334,21.901960784313726,735.6797385620915,20.37908496732026,315.4967320261438,0.0,0.9669265793464054,1.0,240.0,1.0,15.0,15.0,20.37908496732026,335.87581699346407,22.941176470588236,335.87581699346407,1.0,0.0010348584705882353,0.24183006535947713,0.2841148496732026,0.13847222315686275,2.056107416339869,0.008478210082352942,0.5102124183006536,0.028458308748706636,0.02977105340310415,-0.044094665936833644,0.060674463406565605,0.06830255502150266,-0.11168091168091177
DGP_C15_FIRST_JOINT_LEG_S8,FIRST,JOINT,LEG,8,15000000,20000000,153,running,30769152.0,46.95272258169935,0.033809487320261435,0.0,0.9957251828758169,0.06681773376470587,0.0006450186218300654,0.005696435488235295,21.92156862745098,774.9934640522875,22.084967320261438,746.3790849673203,20.88888888888889,317.22222222222223,0.11764705882352941,0.9663792524183008,1.0,240.0,1.0,15.0,15.0,20.88888888888889,338.1111111111111,22.254901960784313,338.1111111111111,1.0,0.02293028382352941,0.9623530430065358,0.15539976855555557,0.12550314452941178,1.2514897904575164,-0.0348712642379085,0.5273692810457516,0.02828613355373016,0.029589477740025922,-0.044047556288319245,0.061781137035819916,0.0658212677118169,-0.06138032305433183
DGP_C15_FIRST_JOINT_LEG_S99,FIRST,JOINT,LEG,99,15000000,20000000,153,running,30670848.0,56.268549751633984,0.03304275814379085,0.0,0.9942384849673203,0.06864745035947711,0.0005476024533333334,0.004201114330718954,21.33986928104575,774.0522875816994,21.366013071895424,745.6143790849674,20.333333333333332,300.078431372549,0.09803921568627451,0.9685559893464053,1.0,240.0,1.0,15.0,15.0,20.333333333333332,320.4117647058824,21.673202614379086,320.4117647058824,1.0,0.00620915079738562,0.874787794379085,0.14226897177124181,0.12162741739869283,1.1765568095424837,-0.006603026308496733,0.4918300653594771,0.027569028117875538,0.02865558078173897,-0.03791766330403068,0.06346000856740713,0.06764171919303184,-0.06182147165259355
DGP_C15_FIRST_JOINT_LEG_S123,FIRST,JOINT,LEG,123,15000000,20000000,153,running,29818880.0,39.98295084313725,0.03262528552941177,0.0,0.9917375300000001,0.06849966487581699,0.00032134693190849674,0.0042317372176470585,21.640522875816995,782.0261437908497,21.019607843137255,753.5032679738562,20.41830065359477,305.9934640522876,0.13071895424836602,0.9646501063398691,1.0,240.0,1.0,15.0,15.0,20.41830065359477,326.4117647058824,21.19607843137255,326.4117647058824,1.0,0.02453703780392157,0.8481378958823529,0.11760509788888888,0.13257861356209152,0.8945362440522877,-0.015313775459477123,0.5073529411764706,0.02767237776849143,0.027895841645993444,-0.008010651922169432,0.06255381349992992,0.06493662521775695,-0.03669441874807278
DGP_C15_FIRST_STOP_FILM_S8,FIRST,STOP,FILM,8,15000000,20000000,153,running,30736384.0,44.002916647058825,0.03108205358169935,0.0,0.9926486402614378,0.0729781278235294,0.0006440543709803922,0.012309111689542483,21.49673202614379,801.3660130718954,20.77777777777778,773.0718954248366,20.287581699346404,295.6862745098039,0.20261437908496732,0.9662834978431372,1.0,240.0,1.0,15.0,15.0,20.287581699346404,315.9738562091503,20.66013071895425,315.9738562091503,1.0,0.026742919928104573,0.8554736974509803,0.0,0.129224595248366,0.0,0.0,0.0,0.026825110717810276,0.02687690226580994,-0.0019269909711860933,0.06420651994042693,0.06538557008108556,-0.01803226826953508
DGP_C15_FIRST_STOP_FILM_S99,FIRST,STOP,FILM,99,15000000,20000000,153,running,30834688.0,42.75090453594771,0.03017829443137255,0.0,0.9958116113725489,0.06679102544444443,0.001043096768235294,0.014483919630718954,20.254901960784313,841.3921568627451,20.712418300653596,813.7320261437909,19.326797385620914,303.57516339869284,0.12418300653594772,0.9669137420915033,1.0,240.0,1.0,15.0,15.0,19.326797385620914,322.9019607843137,21.529411764705884,322.9019607843137,1.0,0.01372549051633987,0.9856054368627452,0.0,0.1266950878366013,0.0,0.0,0.0,0.024073081494255553,0.025453610814370968,-0.05423707191028382,0.05985345316168731,0.06667476317707069,-0.10230722525804503
DGP_C15_FIRST_STOP_FILM_S123,FIRST,STOP,FILM,123,15000000,20000000,153,running,29884416.0,41.77341005882353,0.03072641407843137,0.0,0.9911961745751634,0.06887368363398692,0.0010719597250980393,0.014549453666666667,21.424836601307188,816.9542483660131,21.22222222222222,788.9281045751634,20.052287581699346,305.0,0.0718954248366013,0.9665038044444446,1.0,240.0,1.0,15.0,15.0,20.052287581699346,325.0522875816994,21.333333333333332,325.0522875816994,1.0,0.01105664568627451,0.9954552177777779,0.0,0.14268735425490198,0.0,0.0,0.0,0.026225258812422995,0.026900071247493912,-0.025085897686378256,0.06168942151086804,0.065630466692136,-0.060049019607843035
