base,recruitment,goal_conditioning,coverage_auc__mean,coverage_auc__sd,coverage_auc__n,dg_density__mean,dg_density__sd,dg_density__n,dg_silent_fraction__mean,dg_silent_fraction__sd,dg_silent_fraction__n,dg_usage_entropy__mean,dg_usage_entropy__sd,dg_usage_entropy__n,recruitment_total__mean,recruitment_total__sd,recruitment_total__n,repeat_assignments__mean,repeat_assignments__sd,repeat_assignments__n,bad_source_assignments__mean,bad_source_assignments__sd,bad_source_assignments__n,duplicate_assignments__mean,duplicate_assignments__sd,duplicate_assignments__n,predictive_assignments__mean,predictive_assignments__sd,predictive_assignments__n,attempt_coverage__mean,attempt_coverage__sd,attempt_coverage__n,fully_tested_count__mean,fully_tested_count__sd,fully_tested_count__n,zero_outdegree_count__mean,zero_outdegree_count__sd,zero_outdegree_count__n,untested_zero_outdegree_count__mean,untested_zero_outdegree_count__sd,untested_zero_outdegree_count__n,bad_source_count__mean,bad_source_count__sd,bad_source_count__n,reliable_out_degree_mean__mean,reliable_out_degree_mean__sd,reliable_out_degree_mean__n,predictive_event_count__mean,predictive_event_count__sd,predictive_event_count__n,predictive_context_groups__mean,predictive_context_groups__sd,predictive_context_groups__n,predictive_eligible_count__mean,predictive_eligible_count__sd,predictive_eligible_count__n,predictive_reliability_gap__mean,predictive_reliability_gap__sd,predictive_reliability_gap__n,largest_scc__mean,largest_scc__sd,largest_scc__n,reachable_pair_fraction__mean,reachable_pair_fraction__sd,reachable_pair_fraction__n,reciprocal_fraction__mean,reciprocal_fraction__sd,reciprocal_fraction__n,top3_incoming_share__mean,top3_incoming_share__sd,top3_incoming_share__n,target_hit_lift__mean,target_hit_lift__sd,target_hit_lift__n,target_action_sensitivity__mean,target_action_sensitivity__sd,target_action_sensitivity__n,target_value_span__mean,target_value_span__sd,target_value_span__n,decoder_parameter_count__mean,decoder_parameter_count__sd,decoder_parameter_count__n,film_modulation_norm_mean__mean,film_modulation_norm_mean__sd,film_modulation_norm_mean__n,film_modulation_norm_max__mean,film_modulation_norm_max__sd,film_modulation_norm_max__n,behavior_replay_mismatch__mean,behavior_replay_mismatch__sd,behavior_replay_mismatch__n,option_success_fraction__mean,option_success_fraction__sd,option_success_fraction__n
C13,predictive,legacy,34.155301151026094,3.846434552864295,3,0.016135872926974635,0.0024582380734924428,3,0.25668877802951084,0.023768979035137847,3,0.7433694039863258,0.028906081397479428,3,3.3333333333333335,2.0816659994661326,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.08312656165603681,0.02341590385366697,3,0.0,0.0,3,15.962719298245615,0.06457206958041846,3,15.962719298245615,0.06457206958041846,3,0.0,0.0,3,0.0023300438596491227,0.004035754348776167,3,6.440528058556988,1.7685627339575387,3,5.381099686301847,1.4339945032043044,3,0.0,0.0,3,0.0,0.0,3,1.0,0.0,3,0.00015533626541135867,0.0002690503039504772,3,0.0,0.0,3,0.03728070175438596,0.06457206958041867,3,23.262129755651955,21.30466883715317,3,0.019708948837688634,0.006622363098086873,3,0.015654709280579677,0.009222504441435731,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.015486632606588746,0.014831444249153789,3
C13,predictive,target_id_film,40.353690936068375,3.5424763444527354,3,0.013286724425198739,0.0011102680989979515,3,0.32250548245614036,0.0814252025315987,3,0.6997014859266448,0.022717768744180227,3,1.6666666666666667,0.5773502691896257,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.07944992861073268,0.021081990395902077,3,0.0,0.0,3,16.0,0.0,3,16.0,0.0,3,0.0,0.0,3,0.0,0.0,3,5.256578947368421,0.5325697514562809,3,4.326754385964912,0.49984127212771534,3,0.0,0.0,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,19.922507506844244,18.84606472497167,3,0.021219260341144703,0.002797980042925283,3,0.024313668626474966,0.003092710429184795,3,167808.0,0.0,3,0.2771170896788438,0.08445303500760959,3,1.5649058986128423,0.045255211343810636,3,0.0,0.0,3,0.009104025876966486,0.002677522186859493,3
C15,directional,legacy,35.6890009103924,10.398783780024518,3,0.02833296123303865,0.0008792562874125939,3,0.0,0.0,3,0.9771026702303636,0.0012478946228636496,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.9767818033956646,0.011530867155130292,3,11.035087719298247,2.3967632885437746,3,0.19956140350877194,0.34565049010694704,3,0.1293859649122807,0.2241030650143942,3,0.07017543859649122,0.12154742509255279,3,3.4849232456140355,1.342856266266711,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,11.491228070175438,4.213169058249234,3,0.7453307718561407,0.2229935670885237,3,0.27539199540032105,0.05704400254129316,3,0.491029248556547,0.05759629836918012,3,4.915335723966883,7.0900570306653545,3,0.006373564538622751,0.0008583502012786763,3,0.016001396121665543,0.0018506067510466895,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.1487774101020605,0.011624064749989301,3
C15,directional,target_id_film,63.590491312586174,6.985182457479376,3,0.028666178385416668,0.0010488487827644479,3,0.0,0.0,3,0.9774284438605894,0.0031288091878506424,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.9776589938423089,0.005811599052032095,3,11.324561403508772,1.1141818524681442,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,5.207648026315789,0.5874795037441829,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,14.646929824561404,0.27096425914172756,3,0.9154331140350878,0.016935266196357972,3,0.3453863384692292,0.052019521571941736,3,0.482657772668621,0.033714450486918346,3,0.8177424243144822,0.03588304331299741,3,0.011489507198571676,0.001341267537147667,3,0.023942484461657476,0.0018231634390480991,3,167808.0,0.0,3,0.734378454847294,0.05376487397664951,3,1.745932093837805,0.04267178013289714,3,0.0,0.0,3,0.1725890069644441,0.018522662870686716,3
C15,monitor,legacy,38.79709031366867,15.089869286052037,3,0.027841534530907347,0.0007327960375248739,3,0.0,0.0,3,0.9775796448975278,0.0028879355547964487,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.9665204711389124,0.013875120490242527,3,10.197368421052632,2.121901766167124,3,0.3552631578947369,0.6153338395310486,3,0.19956140350877194,0.34565049010694704,3,0.15570175438596492,0.2696833494241015,3,4.165570175438597,1.2240213139603533,3,11.679824561403509,2.624499798449048,3,9.416666666666666,2.523241459067514,3,0.08991228070175439,0.053582419837151826,3,0.02895322288468219,0.017672860135488966,3,12.67763157894737,2.834060556556113,3,0.7940606718654172,0.17498746247166438,3,0.3875839882121797,0.029341287234960718,3,0.43697156835543477,0.012690377549009061,3,1.9336148261239654,2.0214526152281236,3,0.007652760075870901,0.0018478649722208009,3,0.015442574020996464,0.0038240555011308393,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.13713924198313374,0.0012322601234622426,3
C15,monitor,target_id_film,65.55831969833335,4.7133833709832365,3,0.028964527866296597,0.0017966981967741634,3,0.0,0.0,3,0.9774543832530055,0.0023786504498604383,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.9706871376225822,0.017121277846800155,3,10.054824561403509,3.2045101994925678,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,5.218612938596491,0.5837989501701419,3,16.021929824561404,0.4438880356362161,3,12.88157894736842,0.38412264676302615,3,0.19736842105263155,0.03481251725084988,3,0.05019058081272401,0.005438037686850774,3,14.532894736842104,0.17738774687779946,3,0.9087445171255815,0.010835343514929695,3,0.3382756868213938,0.033410823338600446,3,0.49833013738195103,0.0602791532574741,3,2.9052641193725557,3.5452127984662005,3,0.013485965530874144,0.0014158018871416422,3,0.025200069795047103,0.0023133445722389985,3,167808.0,0.0,3,0.7176113076377333,0.06156821115754394,3,1.7897623450609677,0.07540709395595847,3,0.0,0.0,3,0.1812534263569927,0.0010677425203812533,3
C15,predictive,legacy,48.04594206105133,19.422521690121297,3,0.027808484458280686,0.0008779567214502118,3,0.0,0.0,3,0.9773782871380505,0.0005296669560308449,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.9755447462289414,0.0068626096547385945,3,10.992172069245962,1.120924418167391,3,0.3223684210526316,0.3904925329408342,3,0.11403508771929825,0.1975145657753983,3,0.20833333333333334,0.20724554423389055,3,3.924333936040432,1.5576615247965377,3,9.25442953410015,0.8779541722272249,3,7.848045195770884,0.7959943464259942,3,0.07910712210991054,0.011259270661101993,3,0.027992027744402403,0.004488248656005424,3,12.143139305216684,1.1635418305306515,3,0.7712609703683183,0.06794297702714003,3,0.2995477753428545,0.09989014109519972,3,0.5329484611799856,0.10810499688049391,3,0.7427566964835002,0.07271373436774725,3,0.005890728800894976,0.0006040870185517118,3,0.012631188766743172,0.0069778104163712345,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.15020455447022565,0.02317914990156721,3
C15,predictive,target_id_film,59.16337997235206,14.40226660452675,3,0.028832607482228743,0.00028795625234455006,3,0.0,0.0,3,0.9783117930854907,0.0016024110261712438,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.962343000802412,0.019689047657487958,3,8.350877192982457,4.324792705817446,3,0.010964912280701754,0.018991785170711373,3,0.0,0.0,3,0.010964912280701754,0.018991785170711373,3,5.5478967304625195,0.3722560028400919,3,14.907097288676235,1.6060148605315572,3,12.009370015948965,0.9892970648169216,3,0.14792663476874005,0.003294001523496469,3,0.04024811119191717,0.004233571720750014,3,14.848285486443382,0.10874043512430641,3,0.9273391811495002,0.008048776514427914,3,0.3759361347346975,0.004860375549679493,3,0.48353350953313345,0.05132003048273223,3,3.606980270187725,4.952538997848494,3,0.00935194893009319,0.0024285115819026094,3,0.022724809954002775,0.00038665634404344746,3,167808.0,0.0,3,0.6906706621510942,0.03697980296655604,3,1.7771374630775938,0.008741373162445797,3,0.0,0.0,3,0.16128265513835008,0.008747014936845017,3
