base,seed,contrast,metric,value
C13,123,DIR_minus_MON_LEG,bad_source_count,0.0
C13,123,DIR_minus_MON_LEG,reliable_out_degree_mean,0.024259868421052634
C13,123,DIR_minus_MON_LEG,predictive_event_count,-6.809210526315789
C13,123,DIR_minus_MON_LEG,predictive_context_groups,-5.8355263157894735
C13,123,DIR_minus_MON_LEG,predictive_eligible_count,0.0
C13,123,DIR_minus_MON_LEG,predictive_reliability_gap,0.0
C13,123,DIR_minus_MON_LEG,largest_scc,0.0
C13,123,DIR_minus_MON_LEG,reachable_pair_fraction,0.001672149203889268
C13,123,DIR_minus_MON_LEG,reciprocal_fraction,0.0
C13,123,DIR_minus_MON_LEG,top3_incoming_share,0.375
C13,123,DIR_minus_MON_LEG,target_hit_lift,-9.100021093691652
C13,123,DIR_minus_MON_LEG,target_action_sensitivity,-0.009528329275781289
C13,123,DIR_minus_MON_LEG,target_value_span,-0.00814552248247262
C13,123,DIR_minus_MON_LEG,decoder_parameter_count,0.0
C13,123,DIR_minus_MON_LEG,film_modulation_norm_mean,0.0
C13,123,DIR_minus_MON_LEG,film_modulation_norm_max,0.0
C13,123,DIR_minus_MON_LEG,behavior_replay_mismatch,0.0
C13,123,DIR_minus_MON_LEG,option_success_fraction,-0.0044763510997750285
C15,8,DIR_minus_MON_LEG,coverage_auc,-19.660920046377875
C15,8,DIR_minus_MON_LEG,dg_density,0.00041399504009045907
C15,8,DIR_minus_MON_LEG,dg_silent_fraction,0.0
C15,8,DIR_minus_MON_LEG,dg_usage_entropy,-0.0007077020249868227
C15,8,DIR_minus_MON_LEG,recruitment_total,0.0
C15,8,DIR_minus_MON_LEG,repeat_assignments,0.0
C15,8,DIR_minus_MON_LEG,bad_source_assignments,0.0
C15,8,DIR_minus_MON_LEG,duplicate_assignments,0.0
C15,8,DIR_minus_MON_LEG,predictive_assignments,0.0
C15,8,DIR_minus_MON_LEG,attempt_coverage,-0.004057012106242874
C15,8,DIR_minus_MON_LEG,fully_tested_count,-2.3552631578947363
C15,8,DIR_minus_MON_LEG,zero_outdegree_count,0.0
C15,8,DIR_minus_MON_LEG,untested_zero_outdegree_count,0.0
C15,8,DIR_minus_MON_LEG,bad_source_count,0.0
C15,8,DIR_minus_MON_LEG,reliable_out_degree_mean,-2.235197368421052
C15,8,DIR_minus_MON_LEG,predictive_event_count,-14.532894736842104
C15,8,DIR_minus_MON_LEG,predictive_context_groups,-12.013157894736842
C15,8,DIR_minus_MON_LEG,predictive_eligible_count,-0.1513157894736842
C15,8,DIR_minus_MON_LEG,predictive_reliability_gap,-0.047707811194030864
C15,8,DIR_minus_MON_LEG,largest_scc,-2.3355263157894743
C15,8,DIR_minus_MON_LEG,reachable_pair_fraction,-0.13922698011523804
C15,8,DIR_minus_MON_LEG,reciprocal_fraction,-0.1331372086546923
C15,8,DIR_minus_MON_LEG,top3_incoming_share,0.07735601008722659
C15,8,DIR_minus_MON_LEG,target_hit_lift,0.048829188472346186
C15,8,DIR_minus_MON_LEG,target_action_sensitivity,0.0008431317929582871
C15,8,DIR_minus_MON_LEG,target_value_span,-0.003925655975380275
C15,8,DIR_minus_MON_LEG,decoder_parameter_count,0.0
C15,8,DIR_minus_MON_LEG,film_modulation_norm_mean,0.0
C15,8,DIR_minus_MON_LEG,film_modulation_norm_max,0.0
C15,8,DIR_minus_MON_LEG,behavior_replay_mismatch,0.0
C15,8,DIR_minus_MON_LEG,option_success_fraction,0.018673744077157023
C15,99,DIR_minus_MON_LEG,coverage_auc,11.104165251613985
C15,99,DIR_minus_MON_LEG,dg_density,0.0021271956594366773
C15,99,DIR_minus_MON_LEG,dg_silent_fraction,0.0
C15,99,DIR_minus_MON_LEG,dg_usage_entropy,-0.0021117380575129685
C15,99,DIR_minus_MON_LEG,recruitment_total,0.0
C15,99,DIR_minus_MON_LEG,repeat_assignments,0.0
C15,99,DIR_minus_MON_LEG,bad_source_assignments,0.0
C15,99,DIR_minus_MON_LEG,duplicate_assignments,0.0
C15,99,DIR_minus_MON_LEG,predictive_assignments,0.0
C15,99,DIR_minus_MON_LEG,attempt_coverage,-0.00455044484452205
C15,99,DIR_minus_MON_LEG,fully_tested_count,-1.07236842105263
C15,99,DIR_minus_MON_LEG,zero_outdegree_count,0.0
C15,99,DIR_minus_MON_LEG,untested_zero_outdegree_count,0.0
C15,99,DIR_minus_MON_LEG,bad_source_count,0.0
C15,99,DIR_minus_MON_LEG,reliable_out_degree_mean,1.0246710526315792
C15,99,DIR_minus_MON_LEG,predictive_event_count,-11.138157894736842
C15,99,DIR_minus_MON_LEG,predictive_context_groups,-9.263157894736842
C15,99,DIR_minus_MON_LEG,predictive_eligible_count,-0.06578947368421052
C15,99,DIR_minus_MON_LEG,predictive_reliability_gap,-0.026542208108462785
C15,99,DIR_minus_MON_LEG,largest_scc,1.4802631578947363
C15,99,DIR_minus_MON_LEG,reachable_pair_fraction,0.09150219394972448
C15,99,DIR_minus_MON_LEG,reciprocal_fraction,-0.059425116467632766
C15,99,DIR_minus_MON_LEG,top3_incoming_share,-0.015744634756916454
C15,99,DIR_minus_MON_LEG,target_hit_lift,-3.4401790480080403
C15,99,DIR_minus_MON_LEG,target_action_sensitivity,-0.0016924568399669
C15,99,DIR_minus_MON_LEG,target_value_span,0.0010719232220588668
C15,99,DIR_minus_MON_LEG,decoder_parameter_count,0.0
