run_name,base,recruitment,goal_conditioning,seed,wandb_name,wandb_id,state,max_env_steps,window_rows,coverage_auc,dg_density,dg_silent_fraction,dg_usage_entropy,unit_duty_cycle_max,option_success,action_sensitivity,target_hit_rate,target_hit_lift,largest_scc,reachable_pair_fraction,outgoing_node_fraction,top3_incoming_share,attempt_coverage,fully_tested_count,zero_outdegree_count,predictive_eligible_count,behavior_replay_mismatch,recruitment_total,repeat_total
DPR_C05_PRED_LEG_S123,C05,PRED,LEG,123,00_DPR_C05_PRED_LEG_S123_20260904_060812_480051,00_DPR_C05_PRED_LEG_S123_20260904_060812_480051,finished,74973180.0,152,42.05187539473685,0.026532424105263155,0.0,0.9776490878289474,0.03710937505263159,0.42052814875000005,0.007643614881578948,0.04209498354605263,0.9869763538815789,2.0460526315789473,0.05274122840789473,0.3458059210526316,1.000000002631579,0.18725328986842105,0.0,10.467105263157896,6.184210526315789,0.0,0,0
DPR_C13_DIR_FILM_S8,C13,DIR,FILM,8,00_DPR_C13_DIR_FILM_S8_20260904_060836_438740,00_DPR_C13_DIR_FILM_S8_20260904_060836_438740,finished,74973180.0,152,55.31235805921053,0.014112572934210527,0.38363486842105265,0.6791004578289473,0.04425048836184211,0.009432836473684212,0.01839717768421053,0.0001317074427631579,0.2258485372368421,1.0,0.0,0.0,0.0,0.14292763197368422,0.0,16.0,0.0,0.0,0,0
DPR_C13_DIR_FILM_S99,C13,DIR,FILM,99,00_DPR_C13_DIR_FILM_S99_20260904_060836_435931,00_DPR_C13_DIR_FILM_S99_20260904_060836_435931,finished,74973180.0,152,50.750960118421055,0.013659226284868422,0.3536184210526316,0.6436093517105262,0.04691997321052631,0.02406664217105263,0.017588715075657894,0.00030517578125,0.36403386993421055,1.0,2.741228289473684e-05,0.00041118421052631577,0.006578947368421052,0.13399122875,0.0,15.993421052631579,0.0,0.0,0,0
DPR_C13_DIR_FILM_S123,C13,DIR,FILM,123,00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,finished,74973180.0,152,31.688742644736845,0.015636444105263155,0.26069078947368424,0.7502836965789473,0.04481586652631579,0.044749996598684214,0.02110915514473684,0.0005942896832236842,95.84173407302633,1.0,0.002302631736842105,0.03289473684210526,0.4605263157894737,0.09270833406578947,0.0,15.486842105263158,0.0,0.0,0,0
DPR_C13_DIR_LEG_S8,C13,DIR,LEG,8,00_DPR_C13_DIR_LEG_S8_20260904_060835_702372,00_DPR_C13_DIR_LEG_S8_20260904_060835_702372,finished,74973180.0,150,54.26060583333333,0.013773600276666666,0.25166666666666665,0.7327598416666667,0.043079427186666665,0.016206959726666664,0.02009708758666667,0.0002083333353333333,48.566115842533335,1.0,0.0,0.0,0.0,0.12436111065333331,0.0,16.0,0.0,0.0,0,0
DPR_C13_DIR_LEG_S99,C13,DIR,LEG,99,00_DPR_C13_DIR_LEG_S99_20260904_060834_934719,00_DPR_C13_DIR_LEG_S99_20260904_060834_934719,finished,74973180.0,152,40.171439585526315,0.019080914980263156,0.2080592105263158,0.7716689151973684,0.05087762135526316,0.04309117913157895,0.011867561938157894,0.0006007144335526315,0.5538345554605264,1.0,2.741228289473684e-05,0.00041118421052631577,0.006578947368421052,0.16979166592105263,0.0,15.986842105263158,0.0,0.0,0,0
DPR_C13_DIR_LEG_S123,C13,DIR,LEG,123,00_DPR_C13_DIR_LEG_S123_20260904_060834_934803,00_DPR_C13_DIR_LEG_S123_20260904_060834_934803,finished,74973180.0,152,29.060732513157895,0.01694468448881579,0.2865953947368421,0.7346973275657894,0.04875745276973684,0.025828970717105264,0.011122855790789473,0.00036621093914473686,55.29119550723684,1.0,5.482456578947368e-05,0.0008223684210526315,0.013157894736842105,0.15575657815789476,0.0,15.993421052631579,0.0,0.0,0,0
DPR_C13_MON_FILM_S8,C13,MON,FILM,8,00_DPR_C13_MON_FILM_S8_20260904_060835_632327,00_DPR_C13_MON_FILM_S8_20260904_060835_632327,finished,74973180.0,152,23.879019559210526,0.01693484660855263,0.3301809210526316,0.7112902418421053,0.045676783427631575,0.01645836807236842,0.022145938789473685,0.00022486636513157894,24.604425645328952,1.0,0.0,0.0,0.0,0.16641995644736846,0.0,16.0,0.0,0.0,0,0
DPR_C13_MON_FILM_S99,C13,MON,FILM,99,00_DPR_C13_MON_FILM_S99_20260904_060835_702373,00_DPR_C13_MON_FILM_S99_20260904_060835_702373,finished,74973180.0,152,38.4734707368421,0.01592214485986842,0.32894736842105265,0.6914119814473684,0.04545191719736842,0.03324269151973684,0.008989353930263157,0.0003822728213815789,22.400259253552633,1.0,0.002192982585526316,0.026726973684210526,0.3092105263157895,0.13396381769736843,0.0,15.585526315789474,0.0,0.0,0,0
DPR_C13_MON_FILM_S123,C13,MON,FILM,123,00_DPR_C13_MON_FILM_S123_20260904_060835_705520,00_DPR_C13_MON_FILM_S123_20260904_060835_705520,finished,74973180.0,152,42.97135146052632,0.016841888444078947,0.2890625,0.7478542834868421,0.045779579506578946,0.10963859336184212,0.01764200878289474,0.0015001798990131581,41.79385332532894,1.0,0.00104166675,0.015625,0.25,0.14810855032894737,0.0,15.75,0.019736842105263157,0.0,0,0
DPR_C13_MON_LEG_S8,C13,MON,LEG,8,00_DPR_C13_MON_LEG_S8_20260904_060835_333620,00_DPR_C13_MON_LEG_S8_20260904_060835_333620,finished,74973180.0,105,33.647805133333335,0.016789027684761905,0.30178571428571427,0.6924181285714287,0.0472237724952381,0.018103933704761904,0.01003910296952381,0.00023251488095238094,35.86697389857143,1.0,3.9682542857142855e-05,0.0005952380952380953,0.009523809523809525,0.11257936500952383,0.0,16.0,0.0,0.0,0,0
DPR_C13_MON_LEG_S99,C13,MON,LEG,99,00_DPR_C13_MON_LEG_S99_20260904_060835_632568,00_DPR_C13_MON_LEG_S99_20260904_060835_632568,finished,74973180.0,152,29.576626289473683,0.01377386797368421,0.15953947368421054,0.7700936549342106,0.04194400175,0.023813477967105267,0.03176872915131579,0.0003340871726973684,102.90183205697366,1.0,0.0,0.0,0.0,0.1254111844736842,0.0,16.0,0.013157894736842105,0.0,0,0
DPR_C13_MON_LEG_S123,C13,MON,LEG,123,00_DPR_C13_MON_LEG_S123_20260904_060835_632300,00_DPR_C13_MON_LEG_S123_20260904_060835_632300,finished,74973180.0,152,37.837545335526315,0.01313962432631579,0.2824835526315789,0.6923987576973684,0.04229093861842106,0.01693761747368421,0.017161482680921054,0.00024735300197368425,27.074685147039478,1.0,0.00046600878289473685,0.005345394736842105,0.05921052631578947,0.11022478155263157,0.0,15.914473684210526,0.0,0.0,0,0
DPR_C13_PRED_FILM_S8,C13,PRED,FILM,8,00_DPR_C13_PRED_FILM_S8_20260904_060835_316002,00_DPR_C13_PRED_FILM_S8_20260904_060835_316002,finished,74973180.0,152,59.861094388157895,0.015091745459210527,0.265625,0.741155214013158,0.03959575444078947,0.007582615815789474,0.028112217390789472,9.315892269736843e-05,68.50500406690789,1.0,0.0003289473947368421,0.004934210526315789,0.07236842105263158,0.09791666473684212,0.0,15.921052631578947,0.0,0.0,2,0
DPR_C13_PRED_FILM_S99,C13,PRED,FILM,99,00_DPR_C13_PRED_FILM_S99_20260904_060853_664672,00_DPR_C13_PRED_FILM_S99_20260904_060853_664672,finished,74973180.0,152,56.914065967105266,0.01320447419407895,0.34662828947368424,0.6631220093421052,0.04522705081578947,0.008918166815789474,0.03225368154605263,0.00011243318256578947,22.53326815769737,1.0,0.0,0.0,0.0,0.06666667,0.0,16.0,0.0,0.0,1,0
DPR_C13_PRED_FILM_S123,C13,PRED,FILM,123,00_DPR_C13_PRED_FILM_S123_20260904_060856_250291,00_DPR_C13_PRED_FILM_S123_20260904_060856_250291,finished,74973180.0,152,35.78177081578948,0.01623796161381579,0.20189144736842105,0.7274911994078948,0.04869963,0.013116730447368422,0.024793760111842107,0.0001541940789473684,76.26188616750001,1.0,0.0,0.0,0.0,0.06666667,0.0,16.0,0.0,0.0,2,0
DPR_C13_PRED_LEG_S8,C13,PRED,LEG,8,00_DPR_C13_PRED_LEG_S8_20260904_060837_087596,00_DPR_C13_PRED_LEG_S8_20260904_060837_087596,finished,74973180.0,152,34.73782526973684,0.010823500792763159,0.44037828947368424,0.6200992127631579,0.04001978827631579,0.005639197532894737,0.02167386604605263,6.424753289473684e-05,15.008271252236844,1.0,0.0,0.0,0.0,0.07083333000000003,0.0,16.0,0.0,0.0,5,2
DPR_C13_PRED_LEG_S99,C13,PRED,LEG,99,00_DPR_C13_PRED_LEG_S99_20260904_060837_087878,00_DPR_C13_PRED_LEG_S99_20260904_060837_087878,finished,74973180.0,152,64.89743375657896,0.011397311549342105,0.29851973684210525,0.6948471960526316,0.03922954363815789,0.018387444684210524,0.005201349863815789,0.00023450349638157896,18.138678845526318,1.0,0.0,0.0,0.0,0.11806469243421053,0.0,16.0,0.0,0.0,1,0
DPR_C13_PRED_LEG_S123,C13,PRED,LEG,123,00_DPR_C13_PRED_LEG_S123_20260904_060835_315838,00_DPR_C13_PRED_LEG_S123_20260904_060835_315838,finished,74973180.0,152,32.62896759868421,0.013021368761842107,0.19161184210526316,0.7778735510526316,0.03984631990789474,0.005600225184210526,0.03272103148026315,6.745990953947369e-05,17.279812192697367,1.0,0.0,0.0,0.0,0.06666667,0.0,16.0,0.0,0.0,4,0
DPR_C15_DIR_FILM_S8,C15,DIR,FILM,8,00_DPR_C15_DIR_FILM_S8_20260904_060857_681044,00_DPR_C15_DIR_FILM_S8_20260904_060857_681044,finished,74973180.0,152,62.84907169078948,0.02761921126973684,0.0,0.9788084813157893,0.037456311624999995,0.19639405751973682,0.015234291819078948,0.0028975637375000004,0.8831469078947369,14.677631578947368,0.9173519736842105,1.0,0.48408951243421044,0.9956140448684211,15.05921052631579,0.0,0.0,0.0,0,0
DPR_C15_DIR_FILM_S99,C15,DIR,FILM,99,00_DPR_C15_DIR_FILM_S99_20260904_060857_679377,00_DPR_C15_DIR_FILM_S99_20260904_060857_679377,finished,74973180.0,152,58.55668984868421,0.029617711092105262,0.0,0.9785786290789473,0.040527343769736844,0.14431916104605264,0.012827104797368422,0.0023386101967105264,0.8624154543421053,14.05921052631579,0.8729440782894737,0.9938322368421053,0.5072870917105262,0.9759320213157894,10.493421052631579,0.09868421052631579,0.0,0.0,0,0
DPR_C15_DIR_FILM_S123,C15,DIR,FILM,123,00_DPR_C15_DIR_FILM_S123_20260904_060856_446136,00_DPR_C15_DIR_FILM_S123_20260904_060856_446136,finished,74973180.0,152,59.76595538157895,0.028390181690789475,0.0,0.9745912089473684,0.043135793546052625,0.1614944939407895,0.012355507036842106,0.0027530067888157897,5.804158083092106,15.0,0.9375,1.0,0.4402184505263158,0.9746436469078948,10.947368421052632,0.0,0.0,0.0,0,0
