run_name,representation,exploration_head,manager_objective,geometry,seed,wandb_name,state,observed_max_steps,aligned_start,aligned_end,window_rows,coverage_auc,dg_density,dg_silent_fraction,dg_usage_entropy,option_success,action_sensitivity,free_mode_fraction,goal_mode_fraction,probe_mode_fraction,probe_success_rate,probe_timeout_rate,promotion_rate,edge_reliability,largest_scc,reachable_pair_fraction,outgoing_node_fraction,top3_incoming_share,goal_loop_fraction,goal_straightness,probe_loop_fraction,probe_straightness,behavior_replay_mismatch,recruitment_total,repeat_total
CEE_X0_SEP_EDGE_G0_S8,X0,SEP,EDGE,G0,8,00_CEE_X0_SEP_EDGE_G0_S8_20260903_204510_534949,crashed,43352064.0,26621120.0,31621120.0,153,40.0593527124183,0.027492149137254906,0.0,0.9789173467973855,0.16925131234640525,0.032469695692810455,0.00022658803137254904,0.03536688124803922,0.9640299462091502,0.16227932045751636,0.8377206781699348,0.00042019230784313727,0.18900847712418303,1.0,0.0069989110457516325,0.09436274509803921,0.8559947272549019,0.6797385620915033,0.0,1.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_EDGE_G0_S99,X0,SEP,EDGE,G0,99,00_CEE_X0_SEP_EDGE_G0_S99_20260903_204512_642692,crashed,42532864.0,26621120.0,31621120.0,153,52.57523479738562,0.029125537738562093,0.0,0.978247262745098,0.1538102255359477,0.030330107346405226,0.0,0.0189919067124183,0.9807495924183006,0.14472335748366014,0.8552766464705881,0.00016723305379084968,0.17963220803921567,1.0,0.004357298764705882,0.060866013071895424,0.7777777777777778,0.5751633986928104,0.0,1.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_EDGE_G0_S123,X0,SEP,EDGE,G0,123,00_CEE_X0_SEP_EDGE_G0_S123_20260903_204512_649337,crashed,42532864.0,26621120.0,31621120.0,152,18.489900677631578,0.02616420542105263,0.0,0.9621844471710527,0.30269594460526317,0.10688564504605262,0.0,0.33781995313486846,0.6617849263815789,0.1844324902960526,0.8155675105263157,0.0009355920561184211,0.2590451857236842,2.6052631578947367,0.08237390362500001,0.484375,0.7406032164473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_EDGE_G1_S8,X0,SEP,EDGE,G1,8,00_CEE_X0_SEP_EDGE_G1_S8_20260903_204519_241560,crashed,32178176.0,26621120.0,31621120.0,152,42.727529605263165,0.028311076973684207,0.0,0.9763672180263159,0.16487541440789474,0.04981027871710526,0.0007002980957236842,0.040758634679605256,0.9582519539473683,0.14893821778947366,0.8510617839473685,0.00019048330361842104,0.19551679519736842,1.0,0.00907346522368421,0.09703947368421052,0.8683963557894736,0.5164740159868421,0.23073910499999997,0.6352735089473684,0.2817347532894737,0.0,0.0,0.0
CEE_X0_SEP_EDGE_G1_S99,X0,SEP,EDGE,G1,99,00_CEE_X0_SEP_EDGE_G1_S99_20260903_204522_531580,crashed,31621120.0,26621120.0,31621120.0,153,50.335398352941176,0.027462030581699343,0.0,0.9773051948366014,0.14819957413725493,0.03224738164052287,2.553104607843137e-05,0.02000676576993464,0.9797953677777779,0.14339641095424838,0.8566035908496733,0.00018486831176470588,0.1794997835294118,1.0065359477124183,0.0027505448431372546,0.03880718954248366,0.46405228758169936,0.3143122119607843,0.13633141614379085,0.6222322416339868,0.29043746052287583,0.0,1.0,0.0
CEE_X0_SEP_EDGE_G1_S123,X0,SEP,EDGE,G1,123,00_CEE_X0_SEP_EDGE_G1_S123_20260903_204522_665799,crashed,32014336.0,26621120.0,31621120.0,153,48.531362111111115,0.028227563045751625,0.0,0.9774279463398692,0.13564291016993463,0.03391821703267974,0.0,0.0035105187960784317,0.9960841758823531,0.1368412851633987,0.863158718627451,4.271071307189542e-05,0.17536473450980394,1.0,0.00040849676470588233,0.006127450980392157,0.09803921568627451,0.07625757248366014,0.02758668405228758,0.6819009990196079,0.2581423968627451,0.0,0.0,0.0
CEE_X0_SEP_NODE_G0_S8,X0,SEP,NODE,G0,8,00_CEE_X0_SEP_NODE_G0_S8_20260903_204512_132291,crashed,38862850.0,26621120.0,31621120.0,153,33.30585305228758,0.027977637973856204,0.0,0.9780584063398692,0.0,0.0,0.9997351144444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_NODE_G0_S99,X0,SEP,NODE,G0,99,00_CEE_X0_SEP_NODE_G0_S99_20260903_204511_368890,crashed,38797310.0,26621120.0,31621120.0,153,41.97706823529412,0.02778635463398693,0.0,0.9783979590196079,0.0,0.0,0.99967447875817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_NODE_G0_S123,X0,SEP,NODE,G0,123,00_CEE_X0_SEP_NODE_G0_S123_20260903_204511_421487,crashed,39157760.0,26621120.0,31621120.0,153,44.66201113071895,0.02637157562745098,0.0,0.9746456081699347,0.0,0.0,0.9997287325490196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_NODE_G1_S8,X0,SEP,NODE,G1,8,00_CEE_X0_SEP_NODE_G1_S8_20260903_204511_573789,crashed,39190530.0,26621120.0,31621120.0,153,41.46136070588235,0.026629678562091502,0.0,0.9770686650980391,0.0,0.0,0.9998595785620915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_NODE_G1_S99,X0,SEP,NODE,G1,99,00_CEE_X0_SEP_NODE_G1_S99_20260903_204510_976121,crashed,48168960.0,26621120.0,31621120.0,153,41.793195202614385,0.02846432354901961,0.0,0.9801648423529412,0.0,0.0,0.999693626862745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE_X0_SEP_NODE_G1_S123,X0,SEP,NODE,G1,123,00_CEE_X0_SEP_NODE_G1_S123_20260903_204511_024579,crashed,41680896.0,26621120.0,31621120.0,125,31.189917328000003,0.027415527359999997,0.0,0.9774090271999999,0.0,0.0,0.9996835944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE_X0_SH_EDGE_G0_S8,X0,SH,EDGE,G0,8,00_CEE_X0_SH_EDGE_G0_S8_20260903_204511_307013,crashed,33980416.0,26621120.0,31621120.0,153,24.16986569281046,0.026464325150326796,0.0,0.9776544783006536,0.20524524618300652,0.08146387804575163,0.0012829350411764707,0.13070618871895426,0.8677268437908497,0.16686060418300652,0.8331393971241831,0.000763648260130719,0.2199083575816993,1.2745098039215685,0.02519063247712418,0.24183006535947713,0.923661892614379,0.9934640522875817,0.0,1.0,0.0,0.0,0.0,0.0
CEE_X0_SH_EDGE_G0_S99,X0,SH,EDGE,G0,99,00_CEE_X0_SH_EDGE_G0_S99_20260903_204511_435349,crashed,33554432.0,26621120.0,31621120.0,153,16.59175161764706,0.028013142091503268,0.0,0.9778611533333332,0.474327157124183,0.05178120167973856,0.00032232945098039213,0.6234840958169934,0.3758265674509804,0.14413043421568628,0.8558695681045752,0.0008752829560784313,0.36882115718954245,6.398692810457517,0.28671023967320264,0.8129084967320261,0.4209831050326797,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CEE_X0_SH_EDGE_G0_S123,X0,SH,EDGE,G0,123,00_CEE_X0_SH_EDGE_G0_S123_20260903_204511_520746,crashed,32571392.0,26621120.0,31621120.0,153,19.01622306862745,0.026899948568627454,0.0,0.9731776944444445,0.32015992189542486,0.07574701583006536,0.0,0.4469209561372549,0.5526705479084968,0.1434711352875817,0.8565288673856211,0.0008985905781699347,0.2670694752941176,3.4705882352941178,0.12222222236601306,0.5575980392156863,0.54168341,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CEE_X0_SH_EDGE_G1_S8,X0,SH,EDGE,G1,8,00_CEE_X0_SH_EDGE_G1_S8_20260903_204511_535076,crashed,31850496.0,26621120.0,31621120.0,153,53.54778769281046,0.029242222640522873,0.0,0.97614957124183,0.16137142326797385,0.04173630190849673,0.0005042381594771242,0.035303053459477124,0.9639852681699346,0.15037802970588238,0.8496219709150327,0.00022488840980392153,0.1903417234640523,1.0,0.008523965679738562,0.09272875816993464,0.87507644627451,0.5150734666666668,0.19166020529411767,0.6727034674509803,0.2597188254901961,0.0,0.0,0.0
CEE_X0_SH_EDGE_G1_S99,X0,SH,EDGE,G1,99,00_CEE_X0_SH_EDGE_G1_S99_20260903_204511_547295,crashed,31653888.0,26621120.0,31621120.0,153,29.06604492156863,0.025983822901960787,0.0,0.9704218935947713,0.32217813620915037,0.05106160121568627,3.1913807189542485e-05,0.4025416154509804,0.5970498879084968,0.1467651859281046,0.8532348152941176,0.0006973695277777777,0.2724037773856209,3.915032679738562,0.10084422681699347,0.48161764705882354,0.6076211726143791,0.7351164720915032,0.24458824764705886,0.7218751422222222,0.2437859603921568,0.0,0.0,0.0
CEE_X0_SH_EDGE_G1_S123,X0,SH,EDGE,G1,123,00_CEE_X0_SH_EDGE_G1_S123_20260903_204511_378732,crashed,32276480.0,26621120.0,31621120.0,152,23.832141559210527,0.026173039506578944,0.0,0.974704956118421,0.24165078052631578,0.07427130219078948,2.2486636184210527e-05,0.2518856656973685,0.7475264704605263,0.1547095604276316,0.8452904400657894,0.0010476101010526316,0.24540498598684207,1.8421052631578947,0.05112390383552632,0.39350328947368424,0.7843818045394738,0.7557738293421052,0.22904719243421054,0.7369814440789474,0.23269205177631574,0.0,0.0,0.0
CEE_X0_SH_NODE_G0_S8,X0,SH,NODE,G0,8,00_CEE_X0_SH_NODE_G0_S8_20260903_204451_675904,crashed,47579136.0,26621120.0,31621120.0,153,16.986585630718956,0.02836698648366013,0.0,0.9777025395424834,0.0,0.0,0.9995436320261438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
