contrast,metric,n_pairs,mean_delta,sd_delta,positive_pairs,negative_pairs
PREDO-MON,top3_incoming_share,12,-0.0010156683333333444,0.12203478808680744,5,7
PREDO-MON,reliable_global_efficiency,12,0.0069510603333333655,0.06381226165171723,6,6
PREDO-MON,grounded_controllability,12,-0.002424907518333333,0.012229125399316648,4,2
PREDO-MON,attempt_coverage,12,0.0037500068333333656,0.025614917417262042,5,7
PREDO-MON,fully_tested_count,12,-0.3166666666666666,3.2601821849074444,4,7
PREDO-MON,predictive_gap,12,-0.02696502466666667,0.09645545122742268,5,7
PREDO-MON,credit_replay_match,12,0.0004574066666667061,0.006430895912956682,6,6
PREDO-MON,behavior_replay_mismatch,12,0.0,0.0,0,0
PREDO-MON,stale_generation_fraction,12,0.005208333333333333,0.018042195912175804,1,0
PREDO-MON,recruitment_total,12,0.08333333333333333,0.28867513459481287,1,0
PREDO-MON,repeat_total,12,0.0,0.0,0,0
PREDO-MON,goal_adapter_reset_total,12,0.0,0.0,0,0
PREDO-MON,dropped_rollouts_total,12,716.75,2482.894832649986,1,0
PREDO-MON,dropped_decisions_total,12,45872.0,158905.2692895991,1,0
PREDO-MON,deferred_updates_total,12,0.16666666666666666,0.5773502691896257,1,0
