family,run,condition,seed,window_low_m,window_high_m,n_behavior,n_spatial,train/env_steps,coverage_auc,dg_density,silent_fraction,usage_entropy,option_success,action_tv,action_sensitivity,target_num,target_count,shuffle_num,shuffle_count,correct,wrong,timeout,command_entropy,pair_coverage,candidate_pairs,candidate_sources,candidate_count,behavior_candidate_count,commanded_num,commanded_count,first_shuffle_num,first_shuffle_count,largest_scc,reachable_pairs,top3_incoming,ppo_dg_norm,encoder_dg_norm,gradient_ratio,gradient_cosine,row_conflict,env_steps,grounded_controllability,in_bounds_fraction,valid_sample_count,active_unit_fraction,silent_unit_fraction,visited_cell_fraction,active_only_map_cosine,unique_active_peak_bins,mono_field_unit_fraction,active_unit_mean_spatial_information,mean_primary_secondary_peak_distance,median_dominant_peak_nearest_neighbor_distance,hit_lift,first_lift
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S99,DGP_C15_HIT_STOP_LEG,99,65,75,305,10,69992448.0,41.42631431147541,0.026175877288524586,0.0,0.9881061258360656,0.47050056373770494,0.00025977103498688525,0.004194540481967213,16.85573770491803,1040.806557377049,16.373770491803278,1015.760655737705,16.23934426229508,0.0,18.701639344262293,0.9944359474098361,1.0,240.0,1.0,15.0,15.0,16.23934426229508,16.23934426229508,0.0,16.23934426229508,13.61311475409836,0.8544945243934426,0.34073558183606556,0.0,0.19278685570491802,0.0,0.0,0.0,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.7260387909999999,0.099282744,14.6,0.04375,0.163906779,1277.80348,112.07106800000001,1.004663057410417,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S99,DGP_C15_HIT_STOP_LEG,99,70,75,152,5,72499200.0,43.42184088157895,0.026366585151315788,0.0,0.9878112931578947,0.4730729211842105,0.00028079630324999997,0.0042662230131578945,16.842105263157894,1025.217105263158,16.42105263157895,999.9868421052631,16.289473684210527,0.0,18.532894736842106,0.9944084995394737,1.0,240.0,1.0,15.0,15.0,16.289473684210527,16.289473684210527,0.0,16.289473684210527,12.960526315789474,0.815953927894737,0.32938621934210527,0.0,0.1887894340131579,0.0,0.0,0.0,72980890.0,0.0,1.0,10000.0,1.0,0.0,0.729639884,0.09556046380000001,14.6,0.05,0.16537974000000003,1346.71714,84.14213600000001,1.0004003299390027,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S123,DGP_C15_HIT_STOP_LEG,123,5,15,305,10,9994240.0,58.141681462295075,0.03157748867540983,0.0,0.9906260424262293,0.48723212619672135,0.00015623032682295082,0.0006902214502622951,18.662295081967212,963.5409836065573,18.01967213114754,937.5606557377049,17.40983606557377,0.0,18.672131147540984,0.9950044998360655,1.0,240.0,1.0,15.0,15.0,17.40983606557377,17.40983606557377,0.0,17.40983606557377,14.698360655737705,0.9186475409836066,0.3018075678688525,0.0,0.13589547118688522,0.0,0.0,0.0,10485760.0,0.0,1.0,10000.0,1.0,0.0,0.8415512380000001,0.12451142259999999,15.0,0.00625,0.12685043209999997,1180.43395,229.67488599999996,1.0077373370667486,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S123,DGP_C15_HIT_STOP_LEG,123,20,25,152,5,22495232.0,35.818106388157894,0.029134047690789474,0.0,0.9929789691447368,0.4933622794078947,0.00013922828023355265,0.0016014190013157893,18.657894736842106,956.3815789473684,17.82236842105263,930.4013157894736,17.664473684210527,0.0,18.651315789473685,0.9952072423684212,1.0,240.0,1.0,15.0,15.0,17.664473684210527,17.664473684210527,0.0,17.664473684210527,15.546052631578947,0.9722861832894737,0.30964417789473686,0.0,0.1502381487236842,0.0,0.0,0.0,22976921.6,0.0,1.0,10000.0,1.0,0.0,0.727977826,0.09938449680000001,15.4,0.025,0.14789764600000002,1047.7105999999999,231.8034,1.0184420792777016,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S123,DGP_C15_HIT_STOP_LEG,123,45,55,305,10,50003968.0,32.56429236721311,0.027085201045901636,0.0,0.9919661393770491,0.4975355086557377,0.00018970793715081968,0.0034019680301639347,18.01311475409836,941.7409836065574,17.39344262295082,915.3409836065574,17.645901639344263,0.0,18.249180327868853,0.9949719863278688,1.0,240.0,1.0,15.0,15.0,17.645901639344263,17.645901639344263,0.0,17.645901639344263,16.0,1.0,0.29180883222950815,0.0,0.16436819259016394,0.0,0.0,0.0,50479104.0,0.000792739,1.0,10000.0,1.0,0.0,0.5789473780000001,0.089110783,15.3,0.0625,0.153582975,1076.015903,215.59847799999997,1.0065948495821806,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S123,DGP_C15_HIT_STOP_LEG,123,55,65,305,10,59998208.0,29.136000636065575,0.027848540763934424,0.0,0.9928488351147541,0.49247976786885245,0.00015943403548370491,0.004077725487868852,17.914754098360657,947.1672131147541,17.20983606557377,920.9770491803279,17.60983606557377,0.0,18.524590163934427,0.9946003734426231,1.0,240.0,1.0,15.0,15.0,17.60983606557377,17.60983606557377,0.0,17.60983606557377,15.859016393442623,0.9934562832786886,0.30396055085245904,0.0,0.1592666860655738,0.0,0.0,0.0,60486451.4,0.0,1.0,10000.0,1.0,0.0,0.596675892,0.08660908349999999,15.5,0.01875,0.162212044,1013.316994,199.765195,1.0121765452600375,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S123,DGP_C15_HIT_STOP_LEG,123,65,75,305,10,69992448.0,29.463961308196723,0.027123723242622952,0.0,0.9926396515409835,0.49524828606557375,0.00018860700728852458,0.0047336027085245905,18.154098360655738,941.0229508196721,17.449180327868852,914.6918032786886,17.914754098360657,0.0,18.724590163934426,0.9946688817704916,1.0,240.0,1.0,15.0,15.0,17.914754098360657,17.914754098360657,0.0,17.914754098360657,15.950819672131148,0.9969262295081968,0.2965013626885246,0.0,0.1624831665901639,0.0,0.0,0.0,70483968.0,0.0007904939,1.0,10000.0,1.0,0.0,0.635734083,0.08774388200000001,15.6,0.04375,0.16713953099999998,1009.9496309999998,206.224176,1.0112865354099823,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S123,DGP_C15_HIT_STOP_LEG,123,70,75,152,5,72499200.0,30.868768203947365,0.027017292171052632,0.0,0.9919654858552631,0.4946340074342106,0.00023169458725,0.004926019841447369,18.026315789473685,942.9407894736842,17.42763157894737,916.8552631578947,17.92105263157895,0.0,18.75,0.9947572105263159,1.0,240.0,1.0,15.0,15.0,17.92105263157895,17.92105263157895,0.0,17.92105263157895,15.901315789473685,0.9938322368421053,0.30492924677631583,0.0,0.15987598605263156,0.0,0.0,0.0,72980890.0,0.0015809878,1.0,10000.0,1.0,0.0,0.620498618,0.087265068,15.6,0.05,0.167838388,998.8045099999999,220.08767200000003,1.0057382424359171,
dg_policy_gradient_first_outcome,DGP_C15_HIT_JOINT_LEG_S99,DGP_C15_HIT_JOINT_LEG,99,5,15,305,10,9994240.0,70.27815894754099,0.03619234673114754,0.0,0.9945813220983606,0.548721943409836,0.0001967382220786885,0.000774681432852459,21.885245901639344,816.3967213114754,21.18688524590164,788.3934426229508,19.918032786885245,0.0,16.80983606557377,0.9947441699016393,1.0,240.0,1.0,15.0,15.0,19.918032786885245,19.918032786885245,0.0,19.918032786885245,15.99672131147541,0.9997950819672131,0.2572901751147541,0.17642575452459017,0.12818039624918035,1.3917680967213113,-0.0010005949602295086,0.48545081967213116,10485760.0,0.0,1.0,10000.0,1.0,0.0,0.868975067,0.19800313200000003,15.2,0.0,0.0877153846,1320.4535700000001,188.32810800000001,0.9975302348108762,
dg_policy_gradient_first_outcome,DGP_C15_HIT_JOINT_LEG_S99,DGP_C15_HIT_JOINT_LEG,99,20,25,152,5,22495232.0,40.20253101315789,0.029774916828947368,0.0,0.9947235497368421,0.48679963552631583,0.00020809742275,0.0018782883598684212,18.875,930.0855263157895,18.20394736842105,903.6381578947369,18.04605263157895,0.0,19.49342105263158,0.9943051564473685,1.0,240.0,1.0,15.0,15.0,18.04605263157895,18.04605263157895,0.0,18.04605263157895,16.0,1.0,0.28499076,0.18000595094078947,0.1251642585263158,1.4461838286842106,-0.017585964128750003,0.5242598684210527,22976921.6,0.0,1.0,10000.0,1.0,0.0,0.791135738,0.11932073600000001,15.4,0.025,0.139164808,1222.48984,174.142136,1.0073793974842076,
