frame_bin,mean,count,base,openness,map_seed,run_name
16,0.026347977445209895,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
18,0.025504374258558806,220,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
20,0.02721316197283187,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
22,0.026281417550688396,220,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
24,0.026243315609894874,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
26,0.02745488043874497,220,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
28,0.026658946205968138,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
30,0.02528924521952188,221,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
32,0.024707795601321105,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
34,0.026363433164344474,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
36,0.026983229460136197,223,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
38,0.02720729061887001,221,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
40,0.03097903805329656,223,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
42,0.025655852129574275,223,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
44,0.026353687131485014,223,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
46,0.02507493701422102,221,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
48,0.026620490876794346,228,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
50,0.026872719975963043,226,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
