base,treatment,contrast,metric,mean_difference,sd_difference,n,seed_8_difference,seed_99_difference,seed_123_difference
C03,C06,G+R+X minus immediate control,forced_exploration_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C06,G+R+X minus immediate control,exploration_reward_nonzero_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C06,G+R+X minus immediate control,her_loss,0.0,0.0,3,0.0,0.0,0.0
C03,C06,G+R+X minus immediate control,her_accepted_segments,0.0,0.0,3,0.0,0.0,0.0
C03,C06,G+R+X minus immediate control,her_segment_length,0.0,0.0,3,0.0,0.0,0.0
C03,C06,G+R+X minus immediate control,passive_updates,,,0,,,
C03,C06,G+R+X minus immediate control,passive_known_edge_fraction,,,0,,,
C03,C06,G+R+X minus immediate control,frontier_selection_rate,,,0,,,
C03,C06,G+R+X minus immediate control,frontier_yield,,,0,,,
C03,C06,G+R+X minus immediate control,frontier_reached_fraction,,,0,,,
C03,C06,G+R+X minus immediate control,route_available_rate,,,0,,,
C03,C06,G+R+X minus immediate control,hop_count_mean,,,0,,,
C03,C06,G+R+X minus immediate control,waypoint_success_rate,,,0,,,
C03,C06,G+R+X minus immediate control,final_frontier_reach_rate,,,0,,,
C03,C06,G+R+X minus immediate control,validation_success_rate,,,0,,,
C03,C06,G+R+X minus immediate control,validation_timeout_rate,,,0,,,
C03,C07,O minus immediate control,coverage_auc,12.776003362425563,13.255718228622676,3,-2.359744774639484,22.317683907069284,18.370070954846888
C03,C07,O minus immediate control,unique_cells,18.03044325741683,18.58412991095167,3,-2.6749798451486058,33.26516004783445,23.501149569564646
C03,C07,O minus immediate control,coverage_entropy,-0.38734303527729635,0.7796505107835386,3,0.391549404433829,-0.3858290979740113,-1.1677494122917067
C03,C07,O minus immediate control,dg_density,-0.0017490428517327068,0.0043190167467789305,3,0.0032198039534824356,-0.0038635652828839864,-0.0046033672257965695
C03,C07,O minus immediate control,dg_silent_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,dg_multi_fraction,-0.002764799496187364,0.0044378097803653175,3,0.0015829248366013076,-0.007287517871732026,-0.002589805453431373
C03,C07,O minus immediate control,dg_usage_entropy,-0.007726527312222638,0.0058651190711811255,3,-0.0024190097073324424,-0.006737167344373796,-0.014023404884961677
