condition,seed,window_low,window_high,terminal,target_hit_rate,target_hit_rate__n,timeout_rate,timeout_rate__n,option_success_fraction,option_success_fraction__n,elapsed_on_hit,elapsed_on_hit__n,elapsed_on_timeout,elapsed_on_timeout__n,target_selected_deadline,target_selected_deadline__n,selected_deadline_positive,selected_deadline_positive__n,learned_deadline_fraction,learned_deadline_fraction__n,known_controllability_time,known_controllability_time__n,known_edge_fraction,known_edge_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,target_valid_fraction,target_valid_fraction__n,selected_target_visits,selected_target_visits__n
C03,8,80000000,90000000,0,0.04165759477459016,305,0.07483190317622951,305,0.36584400720283633,305,8.051915681557578,305,8.599314766242856,305,9.786907233566534,305,9.786907233566534,305,1.0,305,6.287409493180572,305,0.15325136844251977,305,1.0305422597244138,305,0.017603382199514107,305,1.0,305,3273.3709008388832,305
C03,8,90000000,100040704,1,0.03656065502850163,307,0.07081350519136807,307,0.35543830959727013,307,8.749577040781027,307,9.382682525373825,307,10.857660573157892,307,10.857660573157892,307,0.999022603423277,307,7.138814620164007,307,0.14501900301111637,307,1.0029314604954922,307,0.017807828286717304,307,1.0,307,3050.402141757431,307
C03,99,0,10000000,0,0.022640240778688526,305,0.06395203637295081,305,0.2467444045866122,305,8.723308791488897,305,13.5008650388874,305,14.114806109569113,305,14.114806109569113,305,0.9566522794668791,305,10.307234538969446,305,0.18292349655425452,305,0.7300796395442525,305,0.0006961609347108904,305,0.971495581454918,305,3237.237522179963,305
C03,99,10000000,20000000,0,0.040713050717213116,305,0.05548315829918033,305,0.42538840829348956,305,9.621255976254822,305,10.923307106143138,305,12.117794737268667,305,12.117794737268667,305,1.0,305,6.5775560457198345,305,0.15479508457613772,305,0.7827493182948378,305,0.00119321333095584,305,1.0,305,4311.337324699027,305
C03,99,20000000,30000000,0,0.06429303278688525,305,0.03531314036885246,305,0.6415200586201715,305,8.62960012310841,305,12.20248098217073,305,12.524275917303367,305,12.524275917303367,305,0.9980344807515379,305,6.739772823208668,305,0.14028688581263432,305,0.9246295309457623,305,0.0018128216789546805,305,1.0,305,4189.955700083248,305
C03,99,30000000,40000000,0,0.07409707991803278,305,0.03262999487704918,305,0.6944898105058513,305,8.759466269758882,305,10.632251286115803,305,12.059926417616547,305,12.059926417616547,305,1.0,305,7.576683505636747,305,0.14491803333407544,305,0.9302624931100939,305,0.002033882590819944,305,1.0,305,3889.216294185451,305
C03,99,40000000,50000000,0,0.07293961321721311,305,0.0286773181352459,305,0.7171807013574194,305,9.232046794891357,305,11.269332816952565,305,12.746431406990427,305,12.746431406990427,305,1.0,305,7.539750941855009,305,0.17659836054825392,305,0.932356023593027,305,0.0022907521724548252,305,1.0,305,4371.534732806096,305
C03,99,50000000,60000000,0,0.07220498876633986,306,0.028210209865196078,306,0.7184378119075999,306,9.540784502341078,306,10.837191170337153,306,13.005475782880596,306,13.005475782880596,306,1.0,306,7.7687648589314975,306,0.13307462221169783,306,0.9574950349097159,306,0.0027996404066048808,306,1.0,306,4200.986921721814,306
C03,99,60000000,70000000,0,0.06276415215163934,305,0.033334400614754095,305,0.6541567994922888,305,10.298180498842333,305,10.436707063581123,305,12.987467806456518,305,12.987467806456518,305,1.0,305,7.731154835810427,305,0.14577868932583293,305,0.9993326753866477,305,0.0031804944858046585,305,1.0,305,4795.875339395492,305
C03,99,70000000,80000000,0,0.06215580174180328,305,0.03722624231557377,305,0.6260507001251471,305,9.504778528995201,305,10.8820134678825,305,12.410863319772188,305,12.410863319772188,305,1.0,305,7.951008648168846,305,0.16185792450044975,305,0.9609027651489758,305,0.003021243545913794,305,1.0,305,4583.276761014345,305
C03,99,80000000,90000000,0,0.060433209528688525,305,0.033273565573770494,305,0.6447219788051043,305,9.381797790527344,305,12.805105897246815,305,13.12515260039783,305,13.12515260039783,305,1.0,305,8.736916557687227,305,0.1573770485940527,305,0.9948624708613412,305,0.002461043955208581,305,1.0,305,4681.105804943648,305
C03,99,90000000,100040704,1,0.06354018220684039,307,0.028307588558631924,307,0.692125485657869,307,10.278362100209787,307,12.03792443415241,307,13.685169403250132,307,13.685169403250132,307,1.0,307,9.32450547047469,307,0.15188653689448142,307,1.0261601351371417,307,0.003941596524353087,307,1.0,307,5257.588347096396,307
C05,123,0,10000000,0,0.020816790471311474,305,0.08957959784836066,305,0.18547426066437706,305,5.790463303737953,305,11.253066594483423,305,11.45682496711856,305,11.45682496711856,305,0.9434946252857563,305,8.111574258960662,305,0.18334699345019753,305,0.8156816463001438,305,0.0007814674932589815,305,0.9655913806352459,305,3299.945670237307,305
C05,123,10000000,20000000,0,0.028734951331967212,305,0.11155865778688524,305,0.20438445142058076,305,4.2683544784295755,305,7.818778521115663,305,7.77988193699571,305,7.77988193699571,305,1.0,305,4.672702437541524,305,0.17978141703566566,305,0.8941791530515327,305,0.003969161686884453,305,1.0,305,3647.0074154713116,305
C05,123,20000000,30000000,0,0.0447297643442623,305,0.0985623719262295,305,0.3098473063257874,305,4.711831491501605,305,7.924377660282323,305,7.985096073150634,305,7.985096073150634,305,0.999893774751757,305,4.647270754517102,305,0.179877045017774,305,0.9985512010386732,305,0.01218838017494952,305,1.0,305,3101.220568647541,305
C05,123,30000000,40000000,0,0.051884285348360655,305,0.0942991162909836,305,0.3530726671707435,305,4.948562661937026,305,7.825306085680352,305,8.000368404388428,305,8.000368404388428,305,1.0,305,4.790696026848965,305,0.1754781373211595,305,1.0575479241668202,305,0.010797243800441749,305,1.0,305,2908.679417744621,305
