id,low_m,n,lift_mean,lift_median,lift_max,fraction_gt2,fraction_gt100,success,target_rate,density,silence,entropy,edges,sensitivity,coverage,recruitment,target_activation_rate,shuffled_activation_rate,pooled_lift
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,10.0,152,0.9533234742763157,0.9475795,1.2162162,0.0,0.0,0.26455708861842103,0.03890830580921052,0.03244339791447368,0.0,0.9656620307894738,0.0021929826249999997,0.016564054057894736,32.643529427631584,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,15.0,153,0.9870976374509803,0.9858195,1.1560117,0.0,0.0,0.26174580705882355,0.03834443922875817,0.030762317183006538,0.0,0.9722215454901962,0.008442266418300651,0.02277673820261438,42.62099460130719,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,20.0,152,0.94945737875,0.947523225,1.1362336,0.0,0.0,0.2293406910526316,0.03352115032894737,0.029120595868421056,0.0,0.9588980403289472,0.00668859679605263,0.026242750082236838,38.54650986842105,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,25.0,153,0.9394768483006536,0.93333334,1.2011338,0.0,0.0,0.24634797496732028,0.03742213032026144,0.03128729926143791,0.0,0.9613877304575164,0.0008714597647058823,0.037355088611111115,48.389095150326796,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,30.0,153,1.0290985250980393,1.0133935,1.363745,0.0,0.0,0.257916317254902,0.04104115613071895,0.03120930991503268,0.0,0.9674389911764705,0.006399782522875816,0.04636555493464052,48.890515934640526,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,35.0,152,1.050961631118421,1.0434668999999999,1.4304186,0.0,0.0,0.25823093361842103,0.04171271086842106,0.02917540705921053,0.0,0.9701043667763157,0.01343201802631579,0.05003143227631579,47.09194322368421,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,40.0,153,1.3114105503267974,1.2337719,2.6190588,0.0457516339869281,0.0,0.23885020091503267,0.03936248973202615,0.02676810468627451,0.0,0.9622981370588236,0.017510893843137254,0.05727398086274509,47.439508633986925,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,45.0,152,1.2361592892763158,1.1917092,1.9402281,0.0,0.0,0.22635091875000002,0.03885690784210526,0.024988475618421054,0.0,0.9627872779605264,0.01710526422368421,0.06391434895394736,41.15107719078948,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,50.0,153,1.3249796725490197,1.2721037,2.2068965,0.0196078431372549,0.0,0.212109534248366,0.032271241862745104,0.021018233967320263,0.0,0.955378884640523,0.01288126405228758,0.0646837274117647,34.05742611111111,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,55.0,153,1.3306645590849673,1.2316644,4.373884,0.05228758169934641,0.0,0.18892849354248364,0.025645935507843137,0.01569122116013072,0.0,0.9343959322222222,0.013507625869281044,0.050360306156862746,23.545656960784314,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,60.0,152,1.4855165136842108,1.20263945,6.178736,0.19078947368421054,0.0,0.20700976715789474,0.02726665291776316,0.017151481220394737,0.0,0.9427649729605264,0.013377193611842104,0.04649627865131579,30.77828205263158,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,65.0,153,1.6750035856862744,1.4729178,5.7086997,0.19607843137254902,0.0,0.241554568496732,0.034514782529411765,0.018121457562091502,0.0,0.9463756664705881,0.014705883124183007,0.05986690533986928,32.08749621568627,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,70.0,152,1.6651019735526313,1.5051972500000002,5.2327366,0.18421052631578946,0.0,0.22114463592105263,0.038281892453947364,0.019685444052631576,0.0,0.9457753767763157,0.013925439125,0.06810301253289473,34.03094642105263,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,75.0,1,2.7473118,2.7473118,2.7473118,1.0,0.0,0.23214285,0.038085938,0.018463135,0.0,0.9425813,0.0125,0.069714054,,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,0.0,153,22.57851891640523,0.9462572,1996.0079,0.013071895424836602,0.013071895424836602,0.0686428594117647,0.0007563572323529412,0.011912426894771242,0.1213235294117647,0.8049323370588236,0.007298475261437907,0.0008598727043882352,83.60620305555555,0.0,,,
