id,window,lo_m,hi_m,n,lift_mean,lift_median,fraction_gt2,fraction_gt100,spike_share,success,target_rate,density,silence,edges,sensitivity,coverage
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,late,37.502975,75.005951,1145,1.4082949247598253,1.2481663,0.0925764192139738,0.0,0.0,0.22129610928384277,0.034151115595807864,0.020945693105676854,0.0,0.014465066143231438,0.05813327792227074,35.35007640559441
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,tail,65.00595,75.005951,306,1.6735894130392157,1.489429,0.19281045751633988,0.0,0.0,0.2313855440849673,0.03639769711764705,0.01889945633333333,0.0,0.014311002826797386,0.06399022377777779,33.05603533442623
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,early,7.500595,37.502975,916,64.45807947770743,0.8872983299999999,0.02292576419213974,0.017467248908296942,0.9895789875070841,0.06384178677074236,0.0008944715521834062,0.014416857036899563,0.16662117903930132,0.0014601529530567684,0.012480593601091704,37.713639393013096
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,late,37.502975,75.005951,1145,100.03216992918777,0.45046437,0.02794759825327511,0.027074235807860263,0.9954535301164915,0.032576916317030566,0.00043241675978165944,0.015690059751528384,0.24033842794759824,0.00031295489781659386,0.019759233120786028,40.80349529632868
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,tail,65.00595,75.005951,306,62.58274550107843,0.66799498,0.016339869281045753,0.016339869281045753,0.9918730641405624,0.0391571093986928,0.0005233864418300653,0.01629219802124183,0.2708333333333333,0.0011574074869281044,0.020200805620915033,35.51909266229508
00_DPR_C13_MON_LEG_S99_20260904_060835_632568,early,7.500595,37.502975,916,65.77979628915939,0.0,0.019650655021834062,0.018558951965065504,0.9942767231776214,0.025084967313318777,0.0003390249741812227,0.014876419790502185,0.1935725982532751,0.0006732169377729257,0.008907435219978166,39.825359351528384
00_DPR_C13_MON_LEG_S99_20260904_060835_632568,late,37.502975,75.005951,1145,52.555761020689964,0.0,0.01572052401746725,0.01572052401746725,0.9925213992565664,0.02258221720262009,0.0003083208249781659,0.014924988068820963,0.19814410480349345,0.0,0.020166639420611355,30.27501595104895
00_DPR_C13_MON_LEG_S99_20260904_060835_632568,tail,65.00595,75.005951,306,77.70016560669934,0.0,0.0196078431372549,0.0196078431372549,0.9943936208669555,0.03017935433006536,0.0004180708759803921,0.01518508811405229,0.18443627450980393,0.0,0.030199958473856207,27.186902734426226
00_DPR_C13_PRED_FILM_S123_20260904_060856_250291,early,7.500595,37.502975,916,57.14895870015284,0.0,0.017467248908296942,0.017467248908296942,0.9932369306971455,0.02392186799563319,0.0003118390096069869,0.013364700245633188,0.20851528384279475,0.0013919215087336244,0.010857957725436683,37.151732902838425
00_DPR_C13_PRED_FILM_S123_20260904_060856_250291,late,37.502975,75.005951,1145,46.59279072449782,0.0,0.01921397379912664,0.017467248908296942,0.9936223171298716,0.00988912433537118,0.00011641989646288212,0.014191713298777293,0.2541484716157205,0.0005895196978165937,0.019266378068034933,48.212441553321675
00_DPR_C13_PRED_FILM_S123_20260904_060856_250291,tail,65.00595,75.005951,306,56.33376674833334,0.0,0.02287581699346405,0.02287581699346405,0.9947955311087501,0.010496078624183006,0.0001244638482026144,0.016545912835947713,0.207312091503268,0.0,0.026401827444444442,38.37248488852459
00_GSR_C05_D4_H10K_S99_20260903_032032_534334,early,10.000794,50.00397,1221,1.0218348814905815,0.99755263,0.014742014742014743,0.0,0.0,0.23917393219574118,0.030310628433087627,0.025500798226863228,0.0,0.18895713863226865,0.010813973466732187,56.683625462735456
00_GSR_C05_D4_H10K_S99_20260903_032032_534334,late,50.00397,100.007941,1527,3.99182229383759,0.9990225,0.02226588081204977,0.0013097576948264572,0.7216892520558625,0.0979851669546169,0.009641556152783235,0.02464079592010478,0.0,0.19909681240995417,0.006138219029541585,53.758128509174306
00_GSR_C05_D4_H10K_S99_20260903_032032_534334,tail,90.00794,100.007941,306,0.9555349605882354,0.965855825,0.0,0.0,0.0,0.08455481107189541,0.007415173091830065,0.024003271937908497,0.0,0.17897603349673205,0.005250785552941177,37.4002192
00_SAT_C15_ARR_MON_FILM_S99_20260905_201613_373089,early,7.500595,37.502975,916,1.016368192510917,0.9852507500000001,0.001091703056768559,0.0,0.0,0.37007367983733624,0.004533659418995634,0.030062613005458514,0.0,0.29476892215065503,0.0026688185484388645,44.49742940283842
00_SAT_C15_ARR_MON_FILM_S99_20260905_201613_373089,late,37.502975,75.005951,1145,3.793079577659388,0.98446167,0.0017467248908296944,0.0008733624454148472,0.7332851911020988,0.3573202109423581,0.00398855417441048,0.02698340269606987,0.0,0.2659716153449782,0.005168758685414847,43.2113497027972
00_SAT_C15_ARR_MON_FILM_S99_20260905_201613_373089,tail,65.00595,75.005951,306,1.0020869178104574,0.98478755,0.0,0.0,0.0,0.3640494042026144,0.004116881128594771,0.027025509519607846,0.0,0.30051742957516336,0.006155149593464053,43.85698129836066
00_SCR_C15_ARR_DIRO_S123_20260904_235735_719878,early,7.500595,37.502975,916,1.012114461517467,0.983223315,0.0,0.0,0.0,0.41128491303165937,0.005187721744650655,0.03064527885371179,0.0,0.34010189168122273,0.004714838145938865,40.09623470196507
00_SCR_C15_ARR_DIRO_S123_20260904_235735_719878,late,37.502975,75.005951,1145,4.301885315336245,0.98520714,0.0034934497816593887,0.0026200873362445414,0.7628970538772378,0.3552458675842795,0.004215850162925764,0.02910292180349345,0.0,0.30586244587772926,0.007054813014235808,38.36455990034965
00_SCR_C15_ARR_DIRO_S123_20260904_235735_719878,tail,65.00595,75.005951,306,1.006833717385621,0.98124102,0.0,0.0,0.0,0.403671089745098,0.004715265006535947,0.02827902400980392,0.0,0.25767973977124187,0.009009576049999999,35.061140708196724
