run_name,family,factor1,factor2,goal_conditioning,seed,delta_coverage_auc,delta_option_success,delta_action_sensitivity,delta_target_rate,delta_shuffle_rate,delta_target_advantage,delta_reachable_pairs
DPR_C15_PRED_LEG_S123,DPR,C15,PRED,LEG,123,22.627824836669532,-0.008427511341307176,0.0026302218650511213,,,,0.1350995414236409
DPR_C15_PRED_LEG_S8,DPR,C15,PRED,LEG,8,0.07070205245901917,-0.02698396226885247,0.002533373192262294,,,,0.01662567547540994
DPR_C15_PRED_LEG_S99,DPR,C15,PRED,LEG,99,-5.41519455409836,0.005345878590163944,0.004718535441081967,,,,-0.09340164360655745
SAT_C15_ARR_DIRO_FILM_S123,SAT,ARR,DIRO,FILM,123,8.234624763934427,-0.018241402622950875,0.0021215132104918048,-0.0015999931561100633,-0.0015963286057267025,0.0009920701508194796,-0.011530048819672234
SAT_C15_ARR_DIRO_FILM_S8,SAT,ARR,DIRO,FILM,8,4.2596995377049325,-0.04734386541311475,-0.0022267890634426225,-0.003797425279202212,-0.0037438163334246512,-0.0031839871387850938,0.07295082872131153
SAT_C15_ARR_DIRO_FILM_S99,SAT,ARR,DIRO,FILM,99,-3.7423760000000073,0.07964571634426237,0.001971236283606558,0.0023770838468067518,0.0023006110524917706,0.003878355817824808,-0.09069672272131157
SAT_C15_ARR_DIRO_LEG_S123,SAT,ARR,DIRO,LEG,123,-1.925454675409835,-0.005720764629508268,-1.845690160655767e-05,-0.0008631251835590527,-0.0008172548035552066,-0.0028351026006532276,-0.07282786859016377
SAT_C15_ARR_DIRO_LEG_S8,SAT,ARR,DIRO,LEG,8,3.1024907934426196,0.062397215340983636,0.0017679916455409835,0.004265541525992053,0.00431603491373083,-0.003893385142998085,0.1326639318688524
SAT_C15_ARR_DIRO_LEG_S99,SAT,ARR,DIRO,LEG,99,-5.411492157377047,0.021343833839344295,0.00045278839881967214,0.001395791921559827,0.0014670615002649549,-0.007189664055786471,0.013224055901639442
SAT_C15_ARR_MON_FILM_S123,SAT,ARR,MON,FILM,123,-3.011995786885244,-0.07903406722295075,-0.0004428542386885259,-0.003707902190767819,-0.003696091267548378,-0.001253786733699691,0.04307377081967212
SAT_C15_ARR_MON_FILM_S8,SAT,ARR,MON,FILM,8,4.9375408393442655,4.5118042622971366e-05,0.0014065154563934427,0.0019170580790715767,0.0019066938395684643,-6.79602104325383e-06,0.04169398127868862
SAT_C15_ARR_MON_FILM_S99,SAT,ARR,MON,FILM,99,-0.9838507180327767,-0.012902873167213058,0.0016485544708196714,-0.0007439935645228019,-0.0006620555634010723,-0.007523297201597945,0.07404371419672118
SAT_C15_ARR_MON_LEG_S123,SAT,ARR,MON,LEG,123,-10.496597413114749,0.023342636704918096,0.000842078592032787,0.0014748475774625115,0.0016568603809278323,-0.018476687638631084,-0.007704907934426464
SAT_C15_ARR_MON_LEG_S8,SAT,ARR,MON,LEG,8,-5.063392927868847,0.01255624624918028,0.0020332193965573774,0.0010912642780666407,0.0010473181208793623,0.004361903747567952,-0.03680327770491787
SAT_C15_ARR_MON_LEG_S99,SAT,ARR,MON,LEG,99,7.371438537704918,-0.04370303540327869,0.0007451029575081967,-0.007124793907365364,-0.007261375301460269,0.01516933347272309,-0.13777323527868834
SAT_C15_ARR_PREDO_FILM_S123,SAT,ARR,PREDO,FILM,123,-5.567197111475409,0.027676910360655727,0.00919183423180328,0.0041274205579322,0.004082759546953103,0.001899460957180743,0.0193989075409835
SAT_C15_ARR_PREDO_FILM_S8,SAT,ARR,PREDO,FILM,8,6.003567590163932,-0.04361801877704913,0.0011742314563934417,-0.0025912531308734717,-0.0028386175350711296,0.02622651877938842,0.0428278498360658
SAT_C15_ARR_PREDO_FILM_S99,SAT,ARR,PREDO,FILM,99,5.231235973770488,0.039309433763934476,-5.311478688522012e-06,0.001610181458056673,0.0015149757890521136,0.006892057029177723,-0.011215848459016242
SAT_C15_ARR_PREDO_LEG_S123,SAT,ARR,PREDO,LEG,123,-4.517935281967212,0.022175289203278714,0.0010876004943934424,0.002361977328757446,0.0023104274023191523,0.003436694899098036,0.05002732459016368
SAT_C15_ARR_PREDO_LEG_S8,SAT,ARR,PREDO,LEG,8,0.16608947868852653,0.0537673941868852,0.0004308216352459015,0.0023867696575983165,0.002425560233036571,-0.007064313013536827,0.1847131169508197
SAT_C15_ARR_PREDO_LEG_S99,SAT,ARR,PREDO,LEG,99,-2.120537301639338,-0.015961857245901656,0.0011609008904918034,0.00018128053558554014,0.00025004666937599763,-0.004954716818396987,0.04209016426229495
SAT_C15_SRC_DIRO_FILM_S123,SAT,SRC,DIRO,FILM,123,-0.36263001639344594,0.003869206337704878,0.004490423078360655,-0.00015244571813867284,-0.00020483933182657496,0.003924529795675147,0.08023224590163913
SAT_C15_SRC_DIRO_FILM_S8,SAT,SRC,DIRO,FILM,8,4.206433331147551,0.0041018519016393085,0.00017753920786885233,-9.702417236198344e-05,9.790920906484896e-05,-0.008993887487608654,-0.020928962491803205
SAT_C15_SRC_DIRO_FILM_S99,SAT,SRC,DIRO,FILM,99,-0.17887798360655438,0.005315867901639237,0.017673105551475415,0.00426720285461242,0.00414964983402092,0.004297209396055601,0.02505464472131136
SAT_C15_SRC_DIRO_LEG_S123,SAT,SRC,DIRO,LEG,123,2.55475473114754,0.018804244918032786,0.006929294645213115,0.003185607400287376,0.0031978225166828175,-0.0028155208889768524,0.009480874491803237
SAT_C15_SRC_DIRO_LEG_S8,SAT,SRC,DIRO,LEG,8,9.328062478688516,0.03726198265573777,0.0013305136558032782,0.001870291844682577,0.0020285012383729276,-0.011564267631299474,-0.00741803321311485
SAT_C15_SRC_DIRO_LEG_S99,SAT,SRC,DIRO,LEG,99,-1.5267853081967289,1.9054885245228803e-06,0.00395526544409836,0.00010127439546136346,0.00016217166680673398,-0.0038275315024745016,-0.0012978140983606057
SAT_C15_SRC_MON_FILM_S123,SAT,SRC,MON,FILM,123,6.710507134426223,0.10985360763278695,0.007503735641639343,0.008630343296789463,0.008659975078248386,-0.003736678293980944,0.09069671836065596
SAT_C15_SRC_MON_FILM_S8,SAT,SRC,MON,FILM,8,-4.243157222950828,-0.0027039497049179406,0.003473878872786884,-0.002125400583075452,-0.0021867218092973782,0.0037045976692546834,-0.036161204557377036
SAT_C15_SRC_MON_FILM_S99,SAT,SRC,MON,FILM,99,-3.3731054491803363,0.02573198990163944,0.004369817687213118,0.00048425413055039335,0.0004960346679666189,-0.00086353149543128,-0.006789617377049195
SAT_C15_SRC_MON_LEG_S123,SAT,SRC,MON,LEG,123,5.394074324590164,0.053084342062295065,0.001911219814983606,0.003917426403909678,0.0039735959763572085,-0.00880455898647714,0.02640709918032802
SAT_C15_SRC_MON_LEG_S8,SAT,SRC,MON,LEG,8,-8.755760016393445,-0.026845307573770405,0.0005623893708524594,-0.0030213813075168315,-0.002907763049360308,-0.006277906141082035,-0.004631147770491784
SAT_C15_SRC_MON_LEG_S99,SAT,SRC,MON,LEG,99,-3.70563310163935,-0.015964189209836055,0.0022461482310491806,-0.0009743956542074966,-0.0009887897859792525,0.002232772603413258,-0.02192623298360674
SAT_C15_SRC_PREDO_FILM_S123,SAT,SRC,PREDO,FILM,123,-1.2531729606557462,-0.013310020950819623,0.003507539930163937,0.0006244279015906844,0.0006481982263563391,-0.0009917769264088383,0.0005054644262294516
SAT_C15_SRC_PREDO_FILM_S8,SAT,SRC,PREDO,FILM,8,2.247007265573771,-0.020723518557377196,0.005277030430819668,0.001468485280402984,0.0016109137998056647,-0.008390976237444114,0.0002049175081967336
