family,factor1,factor2,goal_conditioning,window_low_m,coverage_auc_mean,coverage_auc_std,option_success_mean,option_success_std,action_sensitivity_mean,action_sensitivity_std,target_rate_mean,target_rate_std,shuffle_rate_mean,shuffle_rate_std,target_advantage_mean,target_advantage_std,reachable_pairs_mean,reachable_pairs_std
DPR,C15,DIR,FILM,55,64.02980206010929,1.470259366310506,0.17701700663825137,0.0072142511659103485,0.010433929009693988,0.001844887793017787,,,,,,,0.9017440784590164,0.018706663441652446
DPR,C15,DIR,FILM,65,60.66881218797815,4.988550908437794,0.1623187500885246,0.024816206248025524,0.012670188596939892,0.0008073129807912444,,,,,,,0.9077868851366121,0.028301695475889673
DPR,C15,DIR,LEG,5,75.72980003060108,8.343407499920428,0.19885247980874318,0.017481703918593085,0.00019040083190546448,8.575670634612764e-05,,,,,,,0.9174225864043716,0.015124945939632614
DPR,C15,DIR,LEG,15,62.01936288852459,10.501319086400747,0.1658670205945355,0.008175445153651893,0.0005234414423256831,0.0002437813899588191,,,,,,,0.908693076852459,0.00965193012265519
DPR,C15,DIR,LEG,25,52.50516039760348,11.8223134362417,0.1547591240664488,0.012970291248825596,0.0010106331436503266,0.0003394650589684289,,,,,,,0.8884985463071895,0.026774855209007336
DPR,C15,DIR,LEG,35,48.71339824480874,10.474519762516838,0.1678311381934426,0.01135510844807817,0.002236904819613115,0.000829133589144061,,,,,,,0.892622946306011,0.0558020927411872
DPR,C15,DIR,LEG,45,40.724392744262296,9.655634830890737,0.1498683003398907,0.016962808917882523,0.003724135085748634,0.0011680858197520335,,,,,,,0.8481830584262294,0.08272868993367459
DPR,C15,DIR,LEG,55,38.619407177049176,4.294218270903411,0.1578409325431694,0.013845145964336395,0.005545977274338798,0.000605178798842143,,,,,,,0.8036930754644809,0.13459715415971357
DPR,C15,DIR,LEG,65,36.4124976306011,9.449171781733696,0.1470424102054645,0.01004850448397566,0.006461040161584699,0.0009013960283096352,,,,,,,0.7566256806885246,0.19561181608176414
DPR,C15,MON,FILM,5,67.01219657814208,3.805254598346786,0.18425547484262295,0.0072433311161516365,0.0021643759336765025,0.0001998160383361171,,,,,,,0.9172358824043716,0.004872136627912972
DPR,C15,MON,FILM,15,61.1066231431694,8.952261479965443,0.16222688001639343,0.012407880441573626,0.004370538551092896,0.0009647496630243554,,,,,,,0.8860428040218579,0.03620633560400649
DPR,C15,MON,FILM,25,55.550399225490196,8.500639238894692,0.16607056690087146,0.013291827124702007,0.00583868735620915,0.0008625705097195901,,,,,,,0.8756535927233116,0.018893536556538245
DPR,C15,MON,FILM,35,59.86827846448088,7.171423002577424,0.1713093683978142,0.013139722873106609,0.007047474459322404,0.0012510219775043337,,,,,,,0.8976958084590164,0.036517328481903456
DPR,C15,MON,FILM,45,62.75854313005465,5.668324969676588,0.17887460284153003,0.004548479817998233,0.009383117596491804,0.001154396825607789,,,,,,,0.9182559192568306,0.0033124489546526707
DPR,C15,MON,FILM,55,64.89325386010928,5.57372182152131,0.18003743648524587,0.010858548703951573,0.012174356339683058,0.000811172606602581,,,,,,,0.9126229496393442,0.025795226278516912
DPR,C15,MON,FILM,65,60.96507405573771,3.4756352051383073,0.1767561748163934,0.01572873965494737,0.013665492068229508,0.0012771367088288156,,,,,,,0.9124408005027322,0.010306310689937866
DPR,C15,MON,LEG,5,75.89582792568307,17.004734648519236,0.18268940473224046,0.012743378411053375,0.00019333173897912568,8.967811391729108e-05,,,,,,,0.8841120201967213,0.045336214407332376
DPR,C15,MON,LEG,15,64.03418966994536,18.944455536369205,0.16567400513661204,0.017105087792145618,0.0005349654826196721,0.0002180559277996528,,,,,,,0.9070901636284153,0.022670726770411816
DPR,C15,MON,LEG,25,52.478555847494555,17.721259178309854,0.1602581550610022,0.014374708728860814,0.0011560469901350763,0.0002998816452809002,,,,,,,0.868822619771242,0.057035456938091346
DPR,C15,MON,LEG,35,45.41382130650836,6.322542620617617,0.14550108816489296,0.007115931941556291,0.0022643702226512897,0.0005120282316357057,,,,,,,0.8762015606895778,0.03683721691288961
DPR,C15,MON,LEG,45,40.00677677595629,11.280378074549908,0.14796322377486337,0.014018542145151075,0.004270000414196721,0.0005927071251766481,,,,,,,0.7941621120546448,0.09833738414476373
DPR,C15,MON,LEG,55,41.085798239344264,18.845627272194168,0.1406989399442623,0.00728344940146043,0.0068288961006448086,0.0007749907322546827,,,,,,,0.8133788654972678,0.11680470413895519
DPR,C15,MON,LEG,65,38.9012502557377,15.405257880022104,0.14461994677486337,0.014099180130837519,0.008666896366043716,0.002545757430137956,,,,,,,0.7929052783278688,0.16712082302539824
DPR,C15,PRED,FILM,5,73.54036497338289,5.643569970725038,0.18823872484090098,0.008635617751789781,0.0019105648876094866,0.00033883319677717894,,,,,,,0.9216834515675435,0.004130549324003487
DPR,C15,PRED,FILM,15,69.3982488966899,2.8851605694895635,0.17751815697724385,0.013014520170713442,0.004511506041227373,0.0006249608131779485,,,,,,,0.9231947575149801,0.011098742412013694
DPR,C15,PRED,FILM,25,65.55332872120266,0.8538519077182636,0.17114833674904215,0.008554628945314741,0.006099543559025242,0.0011237542755439386,,,,,,,0.9148621250958927,0.01652324297792971
DPR,C15,PRED,FILM,35,59.90345016224075,8.48196809640731,0.1652221454269709,0.010107051911022964,0.006830290728186879,0.0012437816046356428,,,,,,,0.9012989302351325,0.017443472424438146
DPR,C15,PRED,FILM,45,57.808967458014074,10.937760123225644,0.16851303275586146,0.015683232010914306,0.008375825261222053,0.002337289411928732,,,,,,,0.9063571629938109,0.026543436248905147
DPR,C15,PRED,FILM,55,59.595765658835,11.008267639210326,0.17636876370862753,0.012538767501225961,0.009775078296556787,0.002602154179104406,,,,,,,0.9309020928281523,0.007457111465776764
DPR,C15,PRED,FILM,65,59.66706209422733,16.55161096360382,0.16709530644057702,0.025334499522883823,0.010237149751155103,0.002899327080691766,,,,,,,0.9026486101075802,0.019116109714775377
DPR,C15,PRED,LEG,5,75.23185510928961,15.655510777607738,0.19039270752240436,0.028510779840160566,0.00020046230658469946,1.669734711912106e-05,,,,,,,0.916133879431694,0.01135477655175033
DPR,C15,PRED,LEG,15,60.29577387540984,21.514348362541515,0.1630285348327869,0.02883212655443076,0.0004379779050928962,0.00016304830329086912,,,,,,,0.8798770474098361,0.0693908533119196
DPR,C15,PRED,LEG,25,47.156761531590426,20.25357464356803,0.1512914519651416,0.02056361147117904,0.0011959791021394336,0.0003354787790961092,,,,,,,0.8901960757298474,0.08157928737259194
DPR,C15,PRED,LEG,35,42.30848083169399,6.063541961655991,0.1565488761989071,0.01966581404867279,0.0022733368955202182,0.0006288334980469253,,,,,,,0.8723861536721312,0.008717359188235982
DPR,C15,PRED,LEG,45,39.33558028961749,8.505959209528893,0.15513897989071038,0.020180800107131892,0.00403789765347541,0.0009309194991658483,,,,,,,0.762914387748634,0.015895884738162915
DPR,C15,PRED,LEG,55,37.96798288087431,13.490320344347836,0.1510800868830601,0.005325631207066251,0.005840748265726776,0.0008429110206997327,,,,,,,0.762008194,0.11852583960422526
DPR,C15,PRED,LEG,65,45.09669106796088,23.12650017498744,0.14511711488404513,0.018891304269356732,0.007331941152940538,0.00030545275168086014,,,,,,,0.7823555788461317,0.11018482206445107
SAT,ARR,DIRO,FILM,5,70.5046301169399,13.065566631643533,0.45499331884153005,0.01953464351894883,0.001939471342222951,0.0004612049058535258,0.016745269129588642,0.0033800383789157236,0.016683081412969446,0.003401775593547846,0.004046590872490634,0.0030413088793231373,0.9538251351693989,0.04982259785694249
SAT,ARR,DIRO,FILM,15,55.28248724480875,17.108131972105248,0.42432628250928967,0.03654869265677193,0.004026938785103826,0.0009132715139572562,0.014599244277225329,0.0015827980070075266,0.014519853174012698,0.0015076313430263742,0.0051443239963442355,0.005186922893431114,0.9216029120874317,0.05311352759297457
SAT,ARR,DIRO,FILM,25,52.00625295751633,7.290569086659825,0.452758809406318,0.022090167485324986,0.005664815920174292,0.0013362480594822019,0.016481164301318556,0.002842674706054495,0.016444597798378636,0.0028356951996588303,0.0022265096155085207,0.0009529033065576618,0.9480119817429195,0.004420727447096214
SAT,ARR,DIRO,FILM,35,49.83003895409836,5.254997481311034,0.4305521432950819,0.026974516680100112,0.0063397115348633876,0.0009856866963034979,0.015787951912210305,0.0031910594381606575,0.015756489841135812,0.0032065922186372497,0.002136605467294513,0.0042979157676286545,0.9442987222622952,0.04571461822364774
