family,run_name,factor1,factor2,goal_conditioning,seed,window_low_m,window_high_m,samples,coverage_auc,option_success,action_sensitivity,target_rate,shuffle_rate,target_advantage,reachable_pairs
SAT,SAT_C15_ARR_MON_FILM_S123,ARR,MON,FILM,123,25,35,306,50.36083883333333,0.4615413724836601,0.00792966736764706,0.01816319476643708,0.018000762670734242,0.009023622980537382,0.9828431372549019
SAT,SAT_C15_ARR_MON_FILM_S123,ARR,MON,FILM,123,35,45,305,39.865738970491805,0.45930566262295086,0.008396262262295081,0.01870930661473926,0.018764508071562856,-0.0029418014377499135,0.9644945352786886
SAT,SAT_C15_ARR_MON_FILM_S123,ARR,MON,FILM,123,45,55,305,48.21725777377049,0.4560617243606557,0.008244400901639345,0.01778832024854108,0.017816728671009127,-0.0015944802770820887,0.9499590160655738
SAT,SAT_C15_ARR_MON_FILM_S123,ARR,MON,FILM,123,55,65,305,50.198092354098364,0.3987155841114754,0.006127009639016393,0.011827917735571035,0.011784221127642647,0.0037080607581172487,0.9969262295081968
SAT,SAT_C15_ARR_MON_FILM_S123,ARR,MON,FILM,123,65,75,305,45.20526198688525,0.3770276571377049,0.00780154666295082,0.014080418057773261,0.01412063740346075,-0.00284826701078178,0.9930327868852459
SAT,SAT_C15_ARR_MON_FILM_S8,ARR,MON,FILM,8,5,15,305,70.62964635737706,0.4918708963934427,0.0019684808694118033,0.01907892888251988,0.0188774858583653,0.01067107270883283,0.9668032786885246
SAT,SAT_C15_ARR_MON_FILM_S8,ARR,MON,FILM,8,15,25,305,41.653892,0.3408902336590164,0.0026308787661639345,0.012615124354268994,0.012466257304737325,0.011941599302229822,0.9513387972459015
SAT,SAT_C15_ARR_MON_FILM_S8,ARR,MON,FILM,8,25,35,306,45.494256035947714,0.3940965150980392,0.003577990116993464,0.013251461898194873,0.01307568057361226,0.013443378613680279,0.8750408476470588
SAT,SAT_C15_ARR_MON_FILM_S8,ARR,MON,FILM,8,35,45,305,38.81824573114754,0.39431756982295074,0.004472861854426229,0.013639178963872851,0.013485569242784622,0.011390673862018641,0.8914890700327868
SAT,SAT_C15_ARR_MON_FILM_S8,ARR,MON,FILM,8,45,55,305,41.53380923934426,0.41615431075409837,0.004844856224590164,0.015259224063887722,0.015175808720112517,0.005496599575919303,0.8683606588196721
SAT,SAT_C15_ARR_MON_FILM_S8,ARR,MON,FILM,8,55,65,305,43.04717377704918,0.37862060696065575,0.005613544138360656,0.015187329328235936,0.015050092298869115,0.009118683569610653,0.9254918020655738
SAT,SAT_C15_ARR_MON_FILM_S8,ARR,MON,FILM,8,65,75,305,46.47135007868852,0.41619942879672134,0.006251371680983607,0.017176282142959298,0.01708250255968098,0.005489803554876049,0.9100546400983607
SAT,SAT_C15_ARR_MON_FILM_S99,ARR,MON,FILM,99,5,15,305,63.926090918032784,0.4482497670983606,0.0012964767935081966,0.016740639868193203,0.016607021830441746,0.008045875962330973,0.9614890710163935
SAT,SAT_C15_ARR_MON_FILM_S99,ARR,MON,FILM,99,15,25,305,39.85215520327869,0.3283041060032787,0.0023794700430491804,0.008802469528689176,0.008690754784770303,0.012854435165360112,0.7963387941311475
SAT,SAT_C15_ARR_MON_FILM_S99,ARR,MON,FILM,99,25,35,306,39.79210501633987,0.362797171748366,0.0034493904081699346,0.01006819727073561,0.00991224480516528,0.0157333145655425,0.6639569627777777
SAT,SAT_C15_ARR_MON_FILM_S99,ARR,MON,FILM,99,35,45,305,38.462908081967214,0.3481523608360656,0.004427607679672131,0.009100585612442345,0.009003371142277105,0.010797563338108995,0.729153004
