base,openness,policy_id,target_env_steps,valid_sample_count__mean,valid_sample_count__sd,valid_sample_count__n,in_bounds_fraction__mean,in_bounds_fraction__sd,in_bounds_fraction__n,visited_cell_fraction__mean,visited_cell_fraction__sd,visited_cell_fraction__n,active_unit_fraction__mean,active_unit_fraction__sd,active_unit_fraction__n,silent_unit_fraction__mean,silent_unit_fraction__sd,silent_unit_fraction__n,active_unit_mean_spatial_information__mean,active_unit_mean_spatial_information__sd,active_unit_mean_spatial_information__n,active_only_map_cosine__mean,active_only_map_cosine__sd,active_only_map_cosine__n,unique_active_peak_bins__mean,unique_active_peak_bins__sd,unique_active_peak_bins__n,mean_physical_step_distance__mean,mean_physical_step_distance__sd,mean_physical_step_distance__n,stationary_step_fraction__mean,stationary_step_fraction__sd,stationary_step_fraction__n,path_efficiency__mean,path_efficiency__sd,path_efficiency__n,mean_absolute_circular_yaw_change__mean,mean_absolute_circular_yaw_change__sd,mean_absolute_circular_yaw_change__n,mono_field_unit_fraction__mean,mono_field_unit_fraction__sd,mono_field_unit_fraction__n,mean_primary_secondary_peak_distance__mean,mean_primary_secondary_peak_distance__sd,mean_primary_secondary_peak_distance__n,median_dominant_peak_nearest_neighbor_distance__mean,median_dominant_peak_nearest_neighbor_distance__sd,median_dominant_peak_nearest_neighbor_distance__n,graph_reliable_global_efficiency__mean,graph_reliable_global_efficiency__sd,graph_reliable_global_efficiency__n,graph_grounded_controllability__mean,graph_grounded_controllability__sd,graph_grounded_controllability__n
DGP,0.75,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.7516158818097877,0.04111808694037363,3,1.0,0.0,3,0.0,0.0,3,0.07893401384353638,0.009557190739633207,3,0.3255439216408887,0.060608044416694325,3,15.333333333333334,1.1547005383792515,3,14.644625027974447,4.415550095834972,3,0.12510032301780552,0.200255953130239,3,0.3608100548866256,0.32353187336044703,3,6.976818243662517,1.7394048156812632,3,0.0,0.0,3,1430.6280110677083,72.54351804916037,3,200.0,100.0,3,0.8888888955116272,0.022080734690347072,3,0.0,0.0,3
DGP,0.75,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.8522622345337028,0.016925487331323517,3,1.0,0.0,3,0.0,0.0,3,0.0561551700035731,0.009314381852497501,3,0.30796538664759515,0.08103343878791659,3,15.666666666666666,0.5773502691896257,3,14.36708895365397,2.246178956612802,3,0.10247100794427029,0.11789835999074193,3,0.40397298799344156,0.29078398006187417,3,7.132876714070638,1.6771032297084039,3,0.0,0.0,3,1405.1236165364583,134.3736979943968,3,215.73786417643228,13.629390178099428,3,0.8115740617116293,0.036990717770414266,3,0.0,0.0,3
DGP,0.75,0,5000000,100000.0,0.0,3,1.0,0.0,3,0.8882733148661126,0.006971222931921268,3,1.0,0.0,3,0.0,0.0,3,0.03998246788978577,0.012782128902843384,3,0.3667794143583021,0.015972390629750897,3,15.666666666666666,0.5773502691896257,3,12.627877553304037,1.6182697787030185,3,0.04645134275403819,0.016059349956307947,3,0.3260168622539075,0.08084993256915556,3,5.814708391825358,1.0312489405077274,3,0.020833333333333332,0.03608439182435161,3,1172.4212239583333,29.688916851499062,3,224.53560384114584,32.81001206777037,3,0.6152777870496114,0.12671994352386243,3,0.0,0.0,3
DGP,0.75,0,50000000,100000.0,0.0,3,1.0,0.0,3,0.8522622345337028,0.029619602829816134,3,1.0,0.0,3,0.0,0.0,3,0.07855021953582764,0.009575462582026248,3,0.2996334165588434,0.06357507903472676,3,15.0,1.0,3,14.594984372456869,3.964567675261039,3,0.12329216267681635,0.19212181242819976,3,0.3648248101816245,0.30322401557351997,3,6.9511369069417315,1.8287597387845118,3,0.0,0.0,3,1234.3071695963542,110.4715011037165,3,215.73786417643228,13.629390178099428,3,0.8493055502573649,0.04250883851340153,3,0.0,0.0,3
DGP,0.75,0,75000000,100000.0,0.0,3,1.0,0.0,3,0.7765466297322252,0.006971222931921268,3,1.0,0.0,3,0.0,0.0,3,0.08335123211145401,0.013213805062478887,3,0.29994356910418274,0.06383123362057247,3,15.0,1.0,3,14.561360041300455,4.575209293350432,3,0.1289677747057513,0.2087611067078456,3,0.3675058575168702,0.31799950135831145,3,6.974143346150716,1.7455398771651878,3,0.0,0.0,3,1316.420654296875,191.06790801845852,3,201.07492065429688,60.198223021192796,3,0.8796296318372091,0.0300810278147913,3,0.0,0.0,3
SAT,0.0,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.4302862419205909,0.01153277562031099,3,1.0,0.0,3,0.0,0.0,3,0.08368018021186192,0.06037392748025786,3,0.3969405375890642,0.2269938179566272,3,14.666666666666666,0.5773502691896257,3,11.20188840230306,5.478708471136521,3,0.2719683609462353,0.284671317026517,3,0.23980134324538327,0.053634815481331644,3,8.225055058797201,0.3739262632087245,3,0.0,0.0,3,1295.2892252604167,94.081690061443,3,174.5355987548828,65.6200184302155,3,0.6538194616635641,0.05030409083541522,3,0.0,0.0,3
SAT,0.0,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.46814404432132967,0.02728215457561248,3,1.0,0.0,3,0.0,0.0,3,0.11466497927904129,0.031558120894881005,3,0.2649709828959036,0.07127683526266751,3,15.0,1.0,3,14.387729008992514,1.0113783609057805,3,0.10349646821582027,0.012400836287481957,3,0.2211737895103212,0.0012684918387348388,3,8.416969299316406,0.03282276493743362,3,0.020833333333333332,0.03608439182435161,3,1007.9650065104166,71.404051756707,3,160.94757080078125,105.56428922485449,3,0.6387731631596884,0.06614460792080552,3,0.0,0.0,3
SAT,0.0,0,5000000,100000.0,0.0,3,1.0,0.0,3,0.4662973222530009,0.01153277562031096,3,1.0,0.0,3,0.0,0.0,3,0.09511121114095052,0.006501425520319364,3,0.24114553926868185,0.04611866277490737,3,14.333333333333334,0.5773502691896257,3,14.679177284240723,0.5524829821246864,3,0.08859728966065299,0.020536941702840924,3,0.21695650273128064,0.007715946431474755,3,8.223371187845865,0.19549928631012795,3,0.0,0.0,3,1076.869873046875,209.00432954172658,3,174.5355987548828,65.6200184302155,3,0.6613426009813944,0.11982805353019027,3,0.0,0.0,3
SAT,0.0,0,50000000,100000.0,0.0,3,1.0,0.0,3,0.42936288088642655,0.05724093717388317,3,1.0,0.0,3,0.0,0.0,3,0.08742252737283707,0.05121378257079037,3,0.38651301966080215,0.15247212033349156,3,13.0,2.6457513110645907,3,12.148829778035482,3.5484604972211615,3,0.20922162729668728,0.1264730417796303,3,0.23447215148055509,0.025976968423888667,3,8.326701800028482,0.13350401514481858,3,0.0,0.0,3,1065.0962320963542,235.1591181935111,3,170.60113525390625,26.135225906107628,3,0.6756481329600016,0.06776141070252106,3,0.0,0.0,3
SAT,0.0,0,75000000,100000.0,0.0,3,1.0,0.0,3,0.44598337950138506,0.016620498614958457,3,1.0,0.0,3,0.0,0.0,3,0.09593340195715427,0.06346904220916151,3,0.36840755718665824,0.2006137496758608,3,13.333333333333334,1.5275252316519468,3,11.928148110707602,4.056662948658475,3,0.22755687004494837,0.17633575016078018,3,0.23654790018573923,0.033890329481224266,3,8.31804625193278,0.18871464204862656,3,0.0,0.0,3,1176.625467936198,243.32766201765725,3,174.5355987548828,42.496903637580715,3,0.6651157339413961,0.06632965425731735,3,0.0,0.0,3
SAT,0.35,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.6888273314866112,0.03186599063109402,3,1.0,0.0,3,0.0,0.0,3,0.09739223619302113,0.006351605841201697,3,0.23618900093077688,0.01786292924544345,3,14.333333333333334,0.5773502691896257,3,16.158117930094402,0.1408924732697694,3,0.028984087126712604,0.0010263271170830362,3,0.21296960699991593,0.004484398054733391,3,8.324203173319498,0.13017557085928616,3,0.0,0.0,3,1122.3082275390625,242.41048485287232,3,231.5487060546875,44.812235073571074,3,0.6744212905565897,0.008335744645450444,3,0.0,0.0,3
SAT,0.35,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.7017543859649122,0.038416701870202595,3,1.0,0.0,3,0.0,0.0,3,0.08734223991632462,0.006205080910893659,3,0.27734882295274743,0.04904709986546289,3,15.666666666666666,0.5773502691896257,3,16.10730489095052,0.3095513839230402,3,0.03401224143775786,0.00650667561546566,3,0.21149807349020525,0.001879958255197093,3,8.094420274098715,0.21916881057449977,3,0.0,0.0,3,1133.2451578776042,62.596007073866524,3,213.80711873372397,74.64522480197088,3,0.6462963024775187,0.057911554735721266,3,0.0,0.0,3
SAT,0.35,0,5000000,100000.0,0.0,3,1.0,0.0,3,0.713758079409049,0.023882764831722185,3,1.0,0.0,3,0.0,0.0,3,0.06267540529370308,0.007919185516215566,3,0.2753483652306542,0.027128573131219965,3,14.666666666666666,0.5773502691896257,3,15.947581926981607,0.2858974675355571,3,0.04094946022847888,0.010093160764853908,3,0.20474612823410543,0.015455318426361778,3,7.559075673421224,0.246506537035629,3,0.020833333333333332,0.03608439182435161,3,982.1965942382812,296.6913228061098,3,228.4700673421224,31.187398017735603,3,0.6388888955116272,0.025687396875420286,3,0.0,0.0,3
SAT,0.35,0,50000000,100000.0,0.0,3,1.0,0.0,3,0.6795937211449677,0.036152856787538136,3,1.0,0.0,3,0.0,0.0,3,0.09648740291595459,0.00610251025536227,3,0.2818239989389035,0.0424840493579706,3,13.333333333333334,0.5773502691896257,3,16.126633644104004,0.373855189236205,3,0.03202755778918406,0.004742164290007217,3,0.21389716335062983,0.002035485869541577,3,8.15669027964274,0.1480889380317563,3,0.0,0.0,3,969.2412719726562,102.87981112544954,3,137.2678019205729,64.54972641284527,3,0.6723379691441854,0.008535808774307825,3,0.0,0.0,3
SAT,0.35,0,75000000,100000.0,0.0,3,1.0,0.0,3,0.6925207756232687,0.029315804000715658,3,1.0,0.0,3,0.0,0.0,3,0.0926746353507042,0.007310905355470765,3,0.253160585602968,0.026502771690258487,3,13.333333333333334,3.0550504633038935,3,16.302984873453777,0.20616135018014653,3,0.028218156141029488,0.0017992241085446788,3,0.2173397346347479,0.004377544396944378,3,8.265945752461752,0.19174348721196244,3,0.0,0.0,3,1128.6429036458333,137.876004469504,3,221.67605590820312,27.952115075388313,3,0.6409722169240316,0.0688139834440243,3,0.0,0.0,3
SAT,0.75,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.8956602031394275,0.008904571339790375,3,1.0,0.0,3,0.0,0.0,3,0.11249666412671407,0.026374074389911486,3,0.22318296491374034,0.03900256022347883,3,13.333333333333334,1.1547005383792515,3,17.127880096435547,0.5322804631081057,3,0.03322069242583826,0.015710995661091087,3,0.23351395820580656,0.02839488571606572,3,8.429569562276205,0.013314180711202972,3,0.10416666666666667,0.18042195912175807,3,1206.423604329427,164.60257926407547,3,107.86893208821614,112.01089189490331,3,0.6248842477798462,0.014543316221839702,3,0.023422665894031525,0.0405692473771733,3
SAT,0.75,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.8845798707294552,0.008462743665661783,3,1.0,0.0,3,0.0,0.0,3,0.0872478981812795,0.006512865904565266,3,0.21446035533310437,0.06542062665894167,3,14.0,2.0,3,17.715430577596027,0.5966134801087166,3,0.021213523413258106,0.0033658523622086683,3,0.2221423584525031,0.021856625183256165,3,8.395075480143229,0.007578875913375375,3,0.041666666666666664,0.07216878364870322,3,1095.999776204427,164.6812211606894,3,281.6136423746745,57.40218055798666,3,0.4830191731452942,0.11795250042623884,3,0.0,0.0,3
