condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,best_corr_to_latent_probs,best_corr_to_latent_samples
encourage,0.5,3,0.32012939453125,0.328125,0.06683990587128279,10.244140625,8.157684550791641,1.0,0.193359375,1.8645574120156416,6.980418018099551,0.38759472823352104,0.8341376540733021
punish,0.5,3,0.25,0.2509765625,0.011048543456039806,8.0,12.296944488367831,1.0,0.587890625,1.3800539083557952,6.817117589694124,0.11704257188257397,0.484562826658978
no_learning,0.5,4,0.3211669921875,0.31640625,0.02716414182627793,10.27734375,2.6215070464021144,1.0,0.0,1.6935951078210492,6.54606813703472,0.24983713544398123,0.4695013365130335
encourage,0.5,4,0.32598876953125,0.3779296875,0.06822734070778202,10.431640625,9.189158802406759,1.0,0.2265625,1.886612504415401,7.244489031902342,0.37600551162407003,0.8813331417565267
punish,0.5,4,0.247802734375,0.248046875,0.011937952322653956,7.9296875,12.385843477629763,1.0,0.61328125,1.3814222524668254,6.858589264588701,0.11386190911488658,0.4831801365620292
no_learning,0.5,5,0.31573486328125,0.3232421875,0.030705900867572966,10.103515625,2.386286370153603,1.0,0.0,1.6432655654383737,6.398554737792191,0.2558591709713677,0.47662998223520725
encourage,0.5,5,0.332275390625,0.37890625,0.06427485926882376,10.6328125,9.351738720144171,1.0,0.154296875,1.846675712347354,7.054455967709944,0.3586739476084233,0.8695844596557658
punish,0.5,5,0.24462890625,0.244140625,0.011283417976847015,7.828125,12.365279878934201,1.0,0.6171875,1.362338545207342,6.861088470993919,0.10470783831491123,0.47606130348521114
no_learning,0.5,6,0.3157958984375,0.3173828125,0.02701231497260348,10.10546875,4.676300096526466,1.0,0.0,1.6488209050350542,6.480583008183757,0.26464919760233213,0.47811752088300274
encourage,0.5,6,0.27459716796875,0.2275390625,0.068660156109366,8.787109375,6.9619213911668885,1.0,0.189453125,1.933390631714654,7.296899148347919,0.47819770662305694,0.8920021733157015
punish,0.5,6,0.2479248046875,0.2470703125,0.01065233976603966,7.93359375,12.160526415824314,1.0,0.5859375,1.3746192893401015,6.846378424682831,0.11433240403321007,0.4798511808986152
no_learning,0.5,7,0.3165283203125,0.314453125,0.03492128478368599,10.12890625,2.52854492321393,1.0,0.0,1.699213630406291,6.31696181403626,0.2722643003340782,0.4703330867085739
encourage,0.5,7,0.32513427734375,0.349609375,0.06813751731281693,10.404296875,9.073625772637156,1.0,0.255859375,1.8964044143823424,7.231030924650277,0.39350896365698157,0.8792411037660262
punish,0.5,7,0.2431640625,0.244140625,0.009518353852352503,7.78125,12.228576611261836,1.0,0.6015625,1.3737931034482758,6.851489157984469,0.11882145832972406,0.4772986145015336
no_learning,0.5,8,0.3189697265625,0.322265625,0.030724639343553618,10.20703125,2.3285149369337184,1.0,0.0,1.6852628184456626,6.43234382297839,0.27515061780990735,0.47541863928797423
