F,L,threshold,reward_method,seed,run,window,window_low,window_high,max_step,perf/_fps,perf/_fps__n,perf/_sample_throughput,perf/_sample_throughput__n,train/entropy,train/entropy__n,train/version_diff_avg,train/version_diff_avg__n,train/distance_metric,train/distance_metric__n,train/reward_for_advantage_mean,train/reward_for_advantage_mean__n,train/reward_for_advantage_nonzero_frac,train/reward_for_advantage_nonzero_frac__n,train/intrinsic_reward_mean,train/intrinsic_reward_mean__n,train/intrinsic_reward_nonzero_frac,train/intrinsic_reward_nonzero_frac__n,train/hrl_active_target_frac,train/hrl_active_target_frac__n,train/hrl_source_frac,train/hrl_source_frac__n,train/hrl_target_hit_rate,train/hrl_target_hit_rate__n,train/hrl_tctrl_update_rate,train/hrl_tctrl_update_rate__n,train/hrl_option_reset_rate,train/hrl_option_reset_rate__n,train/hrl_option_timeout_rate,train/hrl_option_timeout_rate__n,train/hrl_option_success_fraction,train/hrl_option_success_fraction__n,train/hrl_learned_deadline_fraction,train/hrl_learned_deadline_fraction__n,train/hrl_selected_deadline_mean,train/hrl_selected_deadline_mean__n,train/hrl_elapsed_on_hit_mean,train/hrl_elapsed_on_hit_mean__n,train/hrl_elapsed_on_timeout_mean,train/hrl_elapsed_on_timeout_mean__n,train/hrl_node_coverage_fraction,train/hrl_node_coverage_fraction__n,train/hrl_selected_target_visit_mean,train/hrl_selected_target_visit_mean__n,train/hrl_known_edge_fraction,train/hrl_known_edge_fraction__n,train/hrl_known_controllability_time_mean,train/hrl_known_controllability_time_mean__n,train/dg_density,train/dg_density__n,train/dg_multi_activation_rate,train/dg_multi_activation_rate__n,train/dg_silent_unit_frac,train/dg_silent_unit_frac__n,train/encoder_loss,train/encoder_loss__n,train/decoder_loss,train/decoder_loss__n,train/batch_reward_loss,train/batch_reward_loss__n,train/encoder_punishment,train/encoder_punishment__n,len/len,len/len__n,len/len_min,len/len_min__n,len/len_max,len/len_max__n
16,128,2.0,encourage,99,B1_F16_L128_T200_ERencourage_S99,mature_80_90m,80000000,90000000,90046464,2437.609972846799,410,304.74735070205315,410,1.1567873060703278,184,5.545110287873642,184,17.063623039618783,184,0.010727061574095347,184,0.0009261421535326087,184,0.010727061574095347,184,0.0009261421535326087,184,0.9987739894701086,184,0.9987739894701086,184,0.0028155782948369565,184,0.048170006793478264,184,0.010383937669836956,184,0.006342348845108696,184,0.29675469547510147,184,0.024980008804603764,184,126.12893378216287,184,49.60522668258004,184,125.61308375648831,184,0.6264101111370585,184,0.33139621968502586,184,0.0839998548971894,184,37.27378561185754,184,0.04614407083262568,184,0.10410474694293478,184,0.0,184,-15.644124352413675,184,0.10571871660194239,184,0.0,184,12.67575002234915,184,6299.371704697028,410,288.9560975609756,410,7200.0,410
16,128,2.0,encourage,99,B1_F16_L128_T200_ERencourage_S99,terminal_10m,80046464,90046464,90046464,2443.569827203354,409,304.7472732655868,409,1.1559639066778205,186,5.544396841397849,186,17.07648071678736,186,0.010851657186175279,186,0.000934559811827957,186,0.010851657186175279,186,0.000934559811827957,186,0.998768796202957,186,0.998768796202957,186,0.0028246807795698926,186,0.04820333501344086,186,0.010408791162634408,186,0.006352906586021506,186,0.29714801426856746,186,0.0249181890319432,186,126.13106270246608,186,49.597374782767346,186,125.63034898491316,186,0.6265134093581989,186,0.331554903979263,186,0.08404002853378814,186,37.298753615348566,186,0.046101723947832664,186,0.10402490759408602,186,0.0,186,-15.647059276539792,186,0.10676613613031805,186,0.0,186,12.675960633062548,186,6299.403224805165,409,289.52567237163817,409,7200.0,409
16,128,2.0,mean,123,B1_F16_L128_T200_ERmean_S123,early_5_15m,5000000,15000000,75169792,1868.084136791764,535,233.37297491626205,535,1.5957617324040119,249,5.38488328313253,249,17.466170770576202,249,0.0022358967567508597,249,0.000247082078313253,249,0.0022358967567508597,249,0.000247082078313253,249,0.9988332235190763,249,0.9988332235190763,249,0.00032748180220883535,249,0.00833019578313253,249,0.00895574485441767,249,0.007463447540160643,249,0.03980074284306492,249,0.0,249,128.0,249,24.825970553968805,249,128.0,249,0.22970164348801456,249,0.0,249,0.01603238309273519,249,50.21674160018982,249,0.006665210647276607,249,0.022388381651606427,249,0.5737951807228916,249,0.010593378216205943,249,0.025975847334402752,249,-2.9715567258706532e-05,249,0.0021169326484786173,249,6815.4109949985395,535,534.2803738317757,535,7200.0,535
16,128,2.0,mean,123,B1_F16_L128_T200_ERmean_S123,common_50_60m,50000000,60000000,75169792,1954.5761961462902,513,244.20824633146586,513,1.5650606107711793,250,5.469240234375,250,11.197384405508638,250,8.222656515135896e-05,250,1.171875e-05,250,8.222656515135896e-05,250,1.171875e-05,250,0.998837890625,250,0.998837890625,250,2.9296875e-05,250,0.002861328125,250,0.00898046875,250,0.007779296875,250,0.0038861965090036393,250,0.0,250,128.0,250,3.364,250,128.0,250,0.1044591064453125,250,0.0,250,0.004904768897174108,250,48.7916565208435,250,0.0023846435546875,250,0.0077109375,250,0.697,250,0.0022278230203444343,250,-0.0063907543327659366,250,-0.00011490228585898876,250,0.0026869387804399594,250,6783.732701708699,513,308.8966861598441,513,7200.0,513
16,128,2.0,mean,123,B1_F16_L128_T200_ERmean_S123,mature_80_90m,80000000,90000000,75169792,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
16,128,2.0,mean,123,B1_F16_L128_T200_ERmean_S123,terminal_10m,65169792,75169792,75169792,1874.194279807973,535,234.32041631680784,535,1.4902283997056587,209,5.524890662380383,209,9.301226875998758,209,0.00041281960828496594,209,4.438920454545455e-05,209,0.00041281960828496594,209,4.438920454545455e-05,209,0.9989533492822966,209,0.9989533492822966,209,0.0001471852571770335,209,0.002532520933014354,209,0.00879840759569378,209,0.007595226525119617,209,0.017940750354499907,209,0.0,209,128.0,209,10.413556641939154,209,128.0,209,0.09713905736019737,209,0.0,209,0.004202343520856547,209,54.16941062343177,209,0.001098194761139354,209,0.003254429575358852,209,0.7162081339712919,209,0.0003564423341504498,209,-0.00042564067633100674,209,-7.357797028416652e-05,209,0.0012323486869230797,209,6822.195810839478,534,515.1760299625469,534,7200.0,534
16,128,2.0,mean,456,B1_F16_L128_T200_ERmean_S456,early_5_15m,5000000,15000000,66027520,1861.1180531308194,537,232.87701549565548,537,0.6202643482635418,264,5.402981844815341,264,10.64393757780393,264,0.00032330138227817685,264,2.5893702651515152e-05,264,0.00032330138227817685,264,2.5893702651515152e-05,264,0.9988773230350378,264,0.9988773230350378,264,4.0690104166666664e-05,264,0.005561597419507576,264,0.008900035511363636,264,0.007744066642992424,264,0.005319476423954422,264,0.0,264,128.0,264,5.473484848484849,264,128.0,264,0.16376298846620502,264,0.0,264,0.011716430349748187,264,43.45454914642103,264,0.004862005060369318,264,0.013050426136363636,264,0.7786458333333334,264,0.023644648653485884,264,0.0018319994303303908,264,-0.0002443895368328826,264,0.005349695785195185,264,7005.645169561802,537,1748.1862197392923,537,7200.0,537
16,128,2.0,mean,456,B1_F16_L128_T200_ERmean_S456,common_50_60m,50000000,60000000,66027520,1913.5460917931478,524,239.40818550750498,524,0.3882440177202225,250,5.692955078125,250,6.315292831420899,250,0.0,250,0.0,250,0.0,250,0.0,250,0.998939453125,250,0.998939453125,250,0.0,250,0.001314453125,250,0.00876953125,250,0.007708984375,250,0.0,250,0.0,250,128.0,250,0.0,250,128.0,250,0.055001953125,250,0.0,250,0.0036575032509863375,250,36.27216898345947,250,0.00221337890625,250,0.0,250,0.9375,250,-6.845159077784046e-07,250,-0.0015328298425447428,250,0.0,250,0.00011392213962972164,250,7093.121798216842,524,1618.3969465648854,524,7200.0,524
16,128,2.0,mean,456,B1_F16_L128_T200_ERmean_S456,mature_80_90m,80000000,90000000,66027520,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
16,128,2.0,mean,456,B1_F16_L128_T200_ERmean_S456,terminal_10m,56027520,66027520,66027520,1920.8788127095306,522,239.92100200433842,522,0.4113939279904131,244,5.663534195696721,244,6.319600408194495,244,0.0,244,0.0,244,0.0,244,0.0,244,0.9988633452868853,244,0.9988633452868853,244,0.0,244,0.0013227619108606558,244,0.008949154713114754,244,0.007814501152663935,244,0.0,244,0.0,244,128.0,244,0.0,244,128.0,244,0.0549711633901127,244,0.0,244,0.00365138652860416,244,34.826328660621016,244,0.002158868508260758,244,0.0,244,0.9375,244,-3.2221925034607057e-06,244,-0.0018953565151873665,244,0.0,244,0.0005030834963392528,244,7069.314944212464,522,1498.344827586207,522,7200.0,522
16,128,2.0,mean,8,B1_F16_L128_T200_ERmean_S8,early_5_15m,5000000,15000000,90046464,2390.964455928529,418,298.56172304290334,418,1.538673725605011,250,5.563697265625,250,12.702720594644546,250,0.0015109375245665434,250,0.00015234375,250,0.0015109375245665434,250,0.00015234375,250,0.9987578125,250,0.9987578125,250,0.000220703125,250,0.00587890625,250,0.008982421875,250,0.0075234375,250,0.027825074449181558,250,0.0,250,128.0,250,19.659066650390624,250,128.0,250,0.1773526611328125,250,0.0,250,0.01201074219867587,250,49.254948013305665,250,0.003775146484375,250,0.01313671875,250,0.7105,250,0.00877054015812476,250,0.015307798985391856,250,-8.191399415954947e-05,250,0.0030553756887238704,250,6757.073314611992,418,537.5502392344498,418,7200.0,418
16,128,2.0,mean,8,B1_F16_L128_T200_ERmean_S8,common_50_60m,50000000,60000000,90046464,2387.3838873000373,420,298.4057144165039,420,0.7495901537714181,216,5.706515842013889,216,6.364602116022811,216,0.0003786440314865171,216,6.329571759259259e-05,216,0.0003786440314865171,216,6.329571759259259e-05,216,0.9989081488715278,216,0.9989081488715278,216,0.00011980975115740741,216,0.0023328993055555555,216,0.008777759693287037,216,0.007568359375,216,0.015057220278928677,216,0.0,216,128.0,216,14.755401222794145,216,128.0,216,0.06913220440899884,216,0.0,216,0.004510253149082591,216,56.72940852906969,216,0.0005306667751736111,216,0.0011958369502314814,216,0.8179976851851852,216,0.00023122019122014578,216,0.0032152754192119807,216,-6.394053828747322e-05,216,0.0006666674869772274,216,6995.572601609003,420,452.7809523809524,420,7200.0,420
16,128,2.0,mean,8,B1_F16_L128_T200_ERmean_S8,mature_80_90m,80000000,90000000,90046464,2443.5789738214394,409,305.61655536082674,409,0.7450495391076314,207,5.479999339522947,207,6.0922293110170225,207,0.0,207,0.0,207,0.0,207,0.0,207,0.9987969882246377,207,0.9987969882246377,207,0.0,207,0.0009576917270531401,207,0.008885775211352658,207,0.007685122282608696,207,0.0,207,0.0,207,128.0,207,0.0,207,128.0,207,0.0626360759642965,207,0.0,207,0.001871184569362839,207,36.395146678611276,207,0.004713270399305556,207,0.0,207,0.9305555555555556,207,0.00021786860254742395,207,-0.00221346688895781,207,-1.7864172963272546e-06,207,-1.2811598294034402e-05,207,6972.453190661293,409,400.7628361858191,409,7200.0,409
16,128,2.0,mean,8,B1_F16_L128_T200_ERmean_S8,terminal_10m,80046464,90046464,90046464,2443.5789588984185,409,305.6362812070217,409,0.7444396376033912,207,5.47934829785628,207,6.090629932385136,207,0.0,207,0.0,207,0.0,207,0.0,207,0.998792270531401,207,0.998792270531401,207,0.0,207,0.0009600505736714976,207,0.008878698671497584,207,0.007673328049516908,207,0.0,207,0.0,207,128.0,207,0.0,207,128.0,207,0.06263651824803744,207,0.0,207,0.0018678428697993681,207,36.42204460660041,207,0.004721968646210749,207,0.0,207,0.9305555555555556,207,0.00021786860254742395,207,-0.0022005899320722104,207,-1.7864172963272546e-06,207,-1.2811598294034402e-05,207,6972.61221276169,409,399.4718826405868,409,7200.0,409
16,128,2.0,mean,99,B1_F16_L128_T200_ERmean_S99,early_5_15m,5000000,15000000,90046464,2396.697204736211,417,299.99301571926054,417,0.6535460533763188,276,5.59750587352808,276,7.185918312141861,276,0.0,276,0.0,276,0.0,276,0.0,276,0.9988323709239131,276,0.9988323709239131,276,0.0,276,0.0020398126132246375,276,0.008950053781702898,276,0.00778419384057971,276,0.0,276,0.0,276,128.0,276,0.0,276,128.0,276,0.08229396654211957,276,0.0,276,0.00419136084741879,276,38.56663989329684,276,0.0030089668605638585,276,0.009479025135869566,276,0.9071557971014492,276,0.006506315364073983,276,-0.0022717311177879364,276,-1.655551992977659e-06,276,0.0009219286970013248,276,6952.793659603567,417,668.8153477218225,417,7200.0,417
16,128,2.0,mean,99,B1_F16_L128_T200_ERmean_S99,common_50_60m,50000000,60000000,90046464,2463.638064822635,407,308.6908580583202,407,0.23223935465159065,220,5.467449396306818,220,9.84359684857455,220,0.0023603960022393782,220,0.0002530184659090909,220,0.0023603960022393782,220,0.0002530184659090909,220,0.9988103693181818,220,0.9988103693181818,220,0.00043501420454545453,220,0.0045143821022727276,220,0.00895108309659091,220,0.0073219992897727276,220,0.053980375809425656,220,0.0,220,128.0,220,28.492337677695534,220,128.0,220,0.14508278586647727,220,0.0,220,0.008439747202845122,220,47.86935322501443,220,0.011291642622514204,220,0.012391246448863637,220,0.6352272727272728,220,-0.0006703854405055216,220,0.0493475571331146,220,-0.0041278510719580065,220,0.0030256985725745007,220,6766.542509261748,407,1626.7714987714987,407,7200.0,407
16,128,2.0,mean,99,B1_F16_L128_T200_ERmean_S99,mature_80_90m,80000000,90000000,90046464,2467.7045446325233,405,308.12988303855616,405,0.6068242380848039,177,5.50733249470339,177,5.563953813186473,177,0.00048000530762687366,177,6.620762711864407e-05,177,0.00048000530762687366,177,6.620762711864407e-05,177,0.9988689530367232,177,0.9988689530367232,177,0.0001931055790960452,177,0.001964159604519774,177,0.008778027895480225,177,0.007462151306497175,177,0.024961496603354224,177,0.0,177,128.0,177,20.701506576969127,177,128.0,177,0.06201016700873941,177,0.0,177,0.004046757289176902,177,54.08492339398228,177,0.0015698449086334746,177,0.0003889698093220339,177,0.8449858757062146,177,0.00017224767855571646,177,0.008003859669719079,177,-0.0003966469170346772,177,0.0008139831755159188,177,6986.011049623842,405,631.6641975308642,405,7200.0,405
16,128,2.0,mean,99,B1_F16_L128_T200_ERmean_S99,terminal_10m,80046464,90046464,90046464,2461.6264786743764,406,308.13164103089883,406,0.6069352360411063,179,5.509173686277933,179,5.562895672281361,179,0.00047464211983216,179,6.546787709497207e-05,179,0.00047464211983216,179,6.546787709497207e-05,179,0.9988624956354749,179,0.9988624956354749,179,0.00019094797486033518,179,0.0019558528282122905,179,0.0087890625,179,0.007468793645251397,179,0.02468259719996479,179,0.0,179,128.0,179,20.470204827505782,179,128.0,179,0.061671933648306566,179,0.0,179,0.004013385444517929,179,54.1266560261476,179,0.0015666258401710895,179,0.0003846237779329609,179,0.8446229050279329,179,0.00017008645376056426,179,0.007885164319284425,179,-0.00039243357133786274,179,0.0007947698461127437,179,6986.264419931496,406,630.5024630541872,406,7200.0,406
